        Time / ns                i1/real
----------------------------------------------------------------------
                       0                  -1.0462145e-08
            0.0023068483                   1.3373593e-06
            0.0046136966                   1.3480645e-06
            0.0069205449                   1.3499998e-06
            0.0092273932                   1.3428393e-06
             0.011534241                   1.3263077e-06
              0.01384109                   1.3001841e-06
             0.016147938                   1.2643047e-06
             0.018454786                   1.2185673e-06
             0.020761635                   1.1629327e-06
             0.023068482                   1.0974284e-06
             0.025375331                   1.0221497e-06
              0.02768218                   9.3726254e-07
             0.029989026                    8.430041e-07
             0.032295875                   7.3968391e-07
             0.034602724                    6.276843e-07
             0.036909573                   5.0746036e-07
             0.039216422                   3.7953939e-07
              0.04152327                   2.4451973e-07
             0.043830115                   1.0306937e-07
             0.046136964                   -4.407638e-08
             0.048443813                  -1.9611743e-07
             0.050750662                  -3.5219216e-07
              0.05305751                  -5.1138119e-07
             0.055364359                  -6.7271145e-07
             0.057671208                   -8.351613e-07
             0.059978053                  -9.9766544e-07
             0.062284902                   -1.159121e-06
             0.064591751                  -1.3183936e-06
             0.066898599                  -1.4743239e-06
             0.069205448                  -1.6257349e-06
             0.071512297                  -1.7714392e-06
             0.073819146                   -1.910247e-06
             0.076125994                  -2.0409734e-06
             0.078432843                  -2.1624483e-06
             0.080739692                  -2.2735226e-06
             0.083046541                   -2.373079e-06
             0.085353389                  -2.4600392e-06
             0.087660231                  -2.5333738e-06
             0.089967079                  -2.5921099e-06
             0.092273928                  -2.6353407e-06
             0.094580777                  -2.6622329e-06
             0.096887626                  -2.6720361e-06
             0.099194475                  -2.6640905e-06
              0.10150132                  -2.6378339e-06
              0.10380817                  -2.5928093e-06
              0.10611502                  -2.5286722e-06
              0.10842187                  -2.4451958e-06
              0.11072872                  -2.3422776e-06
              0.11303557                  -2.2199438e-06
              0.11534242                  -2.0783534e-06
              0.11764926                  -1.9178024e-06
              0.11995611                   -1.738726e-06
              0.12226295                  -1.5417005e-06
               0.1245698                  -1.3274441e-06
              0.12687665                  -1.0968172e-06
               0.1291835                  -8.5082092e-07
              0.13149035                  -5.9059568e-07
               0.1337972                  -3.1741769e-07
              0.13610405                  -3.2695127e-08
               0.1384109                   2.6203696e-07
              0.14071774                   5.6512289e-07
              0.14302459                   8.7479339e-07
              0.14533144                    1.189174e-06
