Time / ns                i1/real
----------------------------------------------------------------------
                       0                  -1.0620738e-08
            0.0023461634                   1.3376133e-06
            0.0046923268                   1.3482769e-06
            0.0070384899                   1.3498569e-06
            0.0093846535                   1.3420128e-06
             0.011730817                   1.3244583e-06
              0.01407698                   1.2969651e-06
             0.016423143                   1.2593675e-06
             0.018769307                   1.2115647e-06
             0.021115471                   1.1535245e-06
             0.023461634                    1.085286e-06
             0.025807798                   1.0069615e-06
              0.02815396                   9.1873869e-07
             0.030500123                   8.2088201e-07
             0.032846287                   7.1373341e-07
             0.035192452                   5.9771281e-07
             0.037538614                   4.7331767e-07
             0.039884776                   3.4112267e-07
             0.042230941                   2.0177804e-07
             0.044577103                   5.6007849e-08
             0.046923269                  -9.5392515e-08
              0.04926943                  -2.5155947e-07
             0.051615596                  -4.1156488e-07
             0.053961758                  -5.7442037e-07
             0.056307919                    -7.39082e-07
             0.058654085                  -9.0445604e-07
             0.061000247                  -1.0694044e-06
             0.063346408                  -1.2327519e-06
             0.065692574                  -1.3932921e-06
             0.068038739                  -1.5497959e-06
             0.070384905                   -1.701019e-06
             0.072731063                  -1.8457097e-06
             0.075077228                  -1.9826182e-06
             0.077423394                   -2.110505e-06
             0.079769552                  -2.2281504e-06
             0.082115717                  -2.3343639e-06
             0.084461883                  -2.4279927e-06
             0.086808048                  -2.5079328e-06
             0.089154206                   -2.573137e-06
             0.091500372                  -2.6226251e-06
             0.093846537                  -2.6554933e-06
             0.096192695                  -2.6709226e-06
             0.098538861                  -2.6681887e-06
              0.10088503                  -2.6466689e-06
              0.10323119                  -2.6058517e-06
              0.10557735                   -2.545343e-06
              0.10792352                  -2.4648743e-06
              0.11026968                  -2.3643074e-06
              0.11261584                  -2.2436416e-06
                0.114962                  -2.1030173e-06
              0.11730817                  -1.9427207e-06
              0.11965434                  -1.7631867e-06
              0.12200049                  -1.5650006e-06
              0.12434666                  -1.3488998e-06
              0.12669282                  -1.1157736e-06
              0.12903899                  -8.6666222e-07
              0.13138515                  -6.0275516e-07
              0.13373131                  -3.2538725e-07
              0.13607748                  -3.6034844e-08
              0.13842364                   2.6368983e-07
              0.14076981                   5.7204539e-07
              0.14311597                   8.8716899e-07
              0.14546213                   1.2070853e-06
               0.1478083                   1.5297167e-06
              0.15015446                   1.8528939e-06
              0.15250061                    2.174369e-06
              0.15484679                   2.4918274e-06
              0.15719295                   2.8029028e-06
               0.1595391                   3.1051923e-06
              0.16188528                   3.3962704e-06
              0.16423143                   3.6737076e-06
              0.16657759                   3.9350862e-06
              0.16892377                   4.1780168e-06
              0.17126992                   4.4001586e-06
               0.1736161                    4.599236e-06
              0.17596225                   4.7730564e-06
              0.17830841                   4.9195296e-06
              0.18065459                   5.0366857e-06
              0.18300074                   5.1226934e-06
               0.1853469                   5.1758775e-06
              0.18769307                    5.194735e-06
              0.19003923                   5.1779534e-06
              0.19238539                    5.124426e-06
              0.19473156                   5.0332656e-06
              0.19707772                   4.9038194e-06
              0.19942388                   4.7356812e-06
              0.20177005                   4.5287034e-06
              0.20411621                   4.2830052e-06
              0.20646238                   3.9989827e-06
              0.20880854                   3.6773151e-06
               0.2111547                   3.3189683e-06
              0.21350087                   2.9251994e-06
              0.21584703                   2.4975568e-06
              0.21819319                   2.0378798e-06
              0.22053936                   1.5482952e-06
              0.22288552                   1.0312125e-06
              0.22523168                   4.8931543e-07
              0.22757785                  -7.4446355e-08
              0.22992401                   -6.568697e-07
              0.23227017                   -1.254512e-06
              0.23461634                  -1.8637069e-06
               0.2369625                  -2.4805831e-06
              0.23930867                  -3.1010841e-06
              0.24165483                  -3.7209913e-06
              0.24400099                  -4.3359469e-06
              0.24634716                  -4.9414821e-06
              0.24869332                  -5.5330415e-06
              0.25103948                  -6.1060164e-06
              0.25338563                  -6.6557718e-06
              0.25573182                  -7.1776794e-06
              0.25807798                  -7.6671522e-06
              0.26042414                  -8.1196749e-06
               0.2627703                  -8.5308402e-06
              0.26511645                  -8.8963834e-06
              0.26746261                  -9.2122164e-06
               0.2698088                  -9.4744628e-06
              0.27215496                   -9.679492e-06
              0.27450112                  -9.8239534e-06
              0.27684727                  -9.9048084e-06
              0.27919343                  -9.9193639e-06
              0.28153962                  -9.8653009e-06
              0.28388578                  -9.7407046e-06
              0.28623194                  -9.5440892e-06
              0.28857809                  -9.2744276e-06
              0.29092425                  -8.9311661e-06
              0.29327041                  -8.5142519e-06
               0.2956166                  -8.0241452e-06
              0.29796275                  -7.4618347e-06
              0.30030891                  -6.8288473e-06
              0.30265507                  -6.1272563e-06
              0.30500123                  -5.3596841e-06
              0.30734739                  -4.5293032e-06
              0.30969357                  -3.6398294e-06
              0.31203973                  -2.6955165e-06
              0.31438589                   -1.701143e-06
              0.31673205                  -6.6199544e-07
              0.31907821                   4.1615135e-07
              0.32142439                   1.5270591e-06
              0.32377055                   2.6640544e-06
              0.32611671                   3.8200615e-06
              0.32846287                   4.9876385e-06
              0.33080903                   6.1590181e-06
              0.33315518                   7.3261513e-06
              0.33550137                   8.4807534e-06
              0.33784753                   9.6143567e-06
              0.34019369                   1.0718363e-05
              0.34253985                   1.1784099e-05
