Time / ns                i2/real
----------------------------------------------------------------------
                       0                  -1.0562644e-08
            0.0023317416                   1.3375204e-06
            0.0046634832                   1.3482002e-06
            0.0069952253                   1.3499121e-06
            0.0093269665                   1.3423211e-06
             0.011658709                   1.3251447e-06
             0.013990451                   1.2981577e-06
             0.016322192                   1.2611949e-06
             0.018653933                   1.2141548e-06
             0.020985676                   1.1570027e-06
             0.023317417                    1.089773e-06
             0.025649158                   1.0125719e-06
             0.027980901                   9.2557906e-07
             0.030312642                   8.2904836e-07
             0.032644384                   7.2330971e-07
             0.034976125                   6.0876897e-07
             0.037307866                   4.8590778e-07
             0.039639611                   3.5528305e-07
             0.041971352                    2.175257e-07
             0.044303093                   7.3338825e-08
             0.046634834                  -7.6504584e-08
             0.048966575                  -2.3116462e-07
             0.051298317                  -3.8973792e-07
             0.053630058                  -5.5126173e-07
             0.055961803                  -7.1471851e-07
             0.058293544                  -8.7904129e-07
             0.060625285                   -1.043119e-06
             0.062957026                  -1.2058032e-06
             0.065288767                   -1.365914e-06
             0.067620508                  -1.5222483e-06
              0.06995225                  -1.6735863e-06
             0.072283991                  -1.8187002e-06
             0.074615732                   -1.956362e-06
             0.076947473                  -2.0853522e-06
             0.079279222                   -2.204469e-06
             0.081610963                  -2.3125367e-06
             0.083942704                  -2.4084152e-06
             0.086274445                  -2.4910096e-06
             0.088606186                  -2.5592783e-06
             0.090937927                  -2.6122432e-06
             0.093269669                  -2.6489986e-06
              0.09560141                  -2.6687194e-06
             0.097933151                  -2.6706703e-06
              0.10026489                  -2.6542143e-06
              0.10259663                  -2.6188197e-06
              0.10492837                  -2.5640684e-06
              0.10726012                  -2.4896619e-06
              0.10959186                  -2.3954287e-06
              0.11192361                   -2.281329e-06
              0.11425535                  -2.1474593e-06
              0.11658709                   -1.994058e-06
              0.11891883                   -1.821507e-06
              0.12125057                   -1.630335e-06
              0.12358231                  -1.4212185e-06
              0.12591405                  -1.1949825e-06
               0.1282458                  -9.5259975e-07
              0.13057753                  -6.9518893e-07
              0.13290928                   -4.240122e-07
              0.13524102                  -1.4047123e-07
              0.13757277                   1.5389777e-07
               0.1399045                    4.574301e-07
              0.14223625                   7.6833965e-07
              0.14456798                   1.0847274e-06
              0.14689973                   1.4045902e-06
              0.14923146                   1.7258321e-06
              0.15156321                   2.0462749e-06
              0.15389495                   2.3636705e-06
              0.15622669                    2.675715e-06
              0.15855844                   2.9800622e-06
              0.16089018                   3.2743385e-06
              0.16322193                   3.5561584e-06
              0.16555366                   3.8231415e-06
              0.16788541                   4.0729278e-06
              0.17021714                   4.3031969e-06
              0.17254889                   4.5116831e-06
              0.17488062                   4.6961959e-06
              0.17721237                   4.8546344e-06
              0.17954411                   4.9850082e-06
              0.18187585                   5.0854533e-06
              0.18420759                   5.1542497e-06
              0.18653934                   5.1898382e-06
              0.18887109                   5.1908382e-06
              0.19120282                   5.1560601e-06
              0.19353457                   5.0845233e-06
               0.1958663                    4.975469e-06
              0.19819805                   4.8283732e-06
              0.20052978                   4.6429568e-06
              0.20286153                   4.4191988e-06
              0.20519327                   4.1573426e-06
              0.20752501                   3.8579042e-06
              0.20985675                   3.5216785e-06
               0.2121885                   3.1497418e-06
              0.21452023                   2.7434555e-06
              0.21685198                   2.3044645e-06
              0.21918371                   1.8346969e-06
              0.22151546                    1.336359e-06
              0.22384721                   8.1193002e-07
              0.22617894                   2.6415378e-07
              0.22851069                  -3.0397146e-07
              0.23084243                   -8.892053e-07
              0.23317418                  -1.4880794e-06
              0.23550591                  -2.0969144e-06
              0.23783766                  -2.7118379e-06
              0.24016939                  -3.3288052e-06
              0.24250114                  -3.9436213e-06
              0.24483287                   -4.551966e-06
              0.24716462                   -5.149418e-06
              0.24949636                  -5.7314851e-06
               0.2518281                  -6.2936288e-06
              0.25415984                  -6.8312988e-06
               0.2564916                  -7.3399615e-06
              0.25882334                  -7.8151324e-06
              0.26115507                  -8.2524102e-06
               0.2634868                  -8.6475084e-06
              0.26581857                  -8.9962896e-06
               0.2681503                  -9.2948003e-06
              0.27048203                  -9.5393034e-06
              0.27281377                   -9.726311e-06
              0.27514553                  -9.8526179e-06
              0.27747726                  -9.9153312e-06
                0.279809                  -9.9119043e-06
              0.28214076                  -9.8401642e-06
               0.2844725                  -9.6983367e-06
              0.28680423                  -9.4850757e-06
              0.28913596                  -9.1994852e-06
              0.29146773                  -8.8411398e-06
              0.29379946                   -8.410103e-06
              0.29613119                  -7.9069441e-06
              0.29846293                  -7.3327506e-06
              0.30079469                  -6.6891371e-06
              0.30312642                  -5.9782524e-06
              0.30545816                  -5.2027804e-06
              0.30778989                  -4.3659415e-06
              0.31012166                   -3.471486e-06
              0.31245339                  -2.5236859e-06
              0.31478512                  -1.5273228e-06
              0.31711689                  -4.8767106e-07
              0.31944862                    5.895223e-07
              0.32178035                   1.6980626e-06
              0.32411209                   2.8313357e-06
              0.32644385                    3.982339e-06
              0.32877558                     5.14372e-06
              0.33110732                   6.3078123e-06
              0.33343905                   7.4666814e-06
              0.33577082                   8.6121709e-06
              0.33810255                   9.7359489e-06
              0.34043428                   1.0829564e-05
              0.34276602                   1.1884496e-05
              0.34509778                   1.2892218e-05
              0.34742951                   1.3844251e-05
              0.34976125                   1.4732223e-05
              0.35209301                   1.5547936e-05
              0.35442474                   1.6283424e-05
              0.35675648                   1.6931019e-05
              0.35908821                   1.7483408e-05
              0.36141998                     1.79337e-05
              0.36375171                   1.8275494e-05
              0.36608344                   1.8502918e-05
              0.36841518                   1.8610714e-05
              0.37074694                   1.8594272e-05
              0.37307867                   1.8449691e-05
              0.37541041                   1.8173838e-05
              0.37774217                   1.7764374e-05
               0.3800739                   1.7219816e-05
              0.38240564                   1.6539563e-05
              0.38473737                   1.5723932e-05
              0.38706914                   1.4774183e-05
              0.38940087                   1.3692545e-05
               0.3917326                   1.2482225e-05
              0.39406434                   1.1147426e-05
               0.3963961                   9.6933427e-06
              0.39872783                   8.1261569e-06
              0.40105957                   6.4530295e-06
               0.4033913                   4.6820833e-06
              0.40572307                   2.8223733e-06
               0.4080548                   8.8385548e-07
              0.41038653                  -1.1226523e-06
               0.4127183                  -3.1855193e-06
              0.41505003                   -5.292356e-06
              0.41738176                  -7.4300751e-06
               0.4197135                  -9.5849618e-06
              0.42204526                  -1.1742747e-05
              0.42437699                  -1.3888688e-05
              0.42670873                  -1.6007658e-05
              0.42904046                  -1.8084236e-05
              0.43137223                  -2.0102809e-05
              0.43370396                  -2.2047663e-05
              0.43603569                  -2.3903101e-05
              0.43836743                  -2.5653548e-05
              0.44069919                  -2.7283657e-05
              0.44303092                   -2.877843e-05
              0.44536266                  -3.0123327e-05
              0.44769442                  -3.1304386e-05
              0.45002615                   -3.230833e-05
              0.45235789                  -3.3122691e-05
              0.45468962                  -3.3735916e-05
              0.45702139                  -3.4137469e-05
              0.45935312                  -3.4317945e-05
              0.46168485                  -3.4269171e-05
              0.46401659                  -3.3984295e-05
              0.46634835                  -3.3457876e-05
              0.46868008                  -3.2685966e-05
              0.47101182                  -3.1666186e-05
              0.47334358                  -3.0397792e-05
              0.47567531                  -2.8881725e-05
              0.47800705                  -2.7120659e-05
              0.48033878                  -2.5119049e-05
              0.48267055                  -2.2883132e-05
              0.48500228                  -2.0420959e-05
              0.48733401                   -1.774239e-05
              0.48966575                  -1.4859076e-05
              0.49199751                  -1.1784442e-05
              0.49432924                   -8.533646e-06
              0.49666098                  -5.1235261e-06
              0.49899271                  -1.5725398e-06
              0.50132447                   2.0993159e-06
              0.50365621                   5.8705937e-06
              0.50598794                   9.7185011e-06
              0.50831968                   1.3619014e-05
              0.51065141                   1.7547005e-05
               0.5129832                   2.1476386e-05
              0.51531494                   2.5380255e-05
              0.51764667                   2.9231058e-05
               0.5199784                   3.3000757e-05
              0.52231014                   3.6661015e-05
              0.52464187                   4.0183379e-05
              0.52697361                   4.3539461e-05
              0.52930534                   4.6701163e-05
              0.53163713                   4.9640847e-05
              0.53396887                   5.2331572e-05
               0.5363006                   5.4747274e-05
              0.53863233                   5.6862984e-05
              0.54096407                   5.8655041e-05
               0.5432958                   6.0101283e-05
              0.54562753                    6.118125e-05
              0.54795933                   6.1876366e-05
              0.55029106                   6.2170155e-05
               0.5526228                   6.2048384e-05
              0.55495453                   6.1499253e-05
              0.55728626                   6.0513528e-05
                0.559618                   5.9084705e-05
              0.56194973                   5.7209123e-05
              0.56428152                   5.4886081e-05
              0.56661326                   5.2117932e-05
              0.56894499                   4.8910151e-05
              0.57127672                   4.5271408e-05
              0.57360846                   4.1213589e-05
              0.57594019                   3.6751815e-05
              0.57827193                   3.1904441e-05
              0.58060366                   2.6693024e-05
              0.58293545                   2.1142265e-05
              0.58526719                   1.5279938e-05
              0.58759892                   9.1367929e-06
              0.58993065                     2.74643e-06
              0.59226239                  -3.8548465e-06
              0.59459412                  -1.0628196e-05
              0.59692585                  -1.7532433e-05
              0.59925765                  -2.4524243e-05
              0.60158938                  -3.1558415e-05
              0.60392112                  -3.8588092e-05
              0.60625285                  -4.5565059e-05
              0.60858458                  -5.2440017e-05
              0.61091632                    -5.91629e-05
              0.61324805                  -6.5683191e-05
              0.61557978                  -7.1950271e-05
              0.61791158                  -7.7913741e-05
              0.62024331                  -8.3523795e-05
              0.62257504                  -8.8731562e-05
              0.62490678                    -9.34895e-05
              0.62723851                  -9.7751734e-05
              0.62957025                  -0.00010147442
              0.63190198                  -0.00010461613
              0.63423377                  -0.00010713819
              0.63656551                  -0.00010900504
              0.63889724                  -0.00011018456
              0.64122897                  -0.00011064838
              0.64356071                  -0.00011037222
              0.64589244                  -0.00010933616
              0.64822417                  -0.00010752487
              0.65055591                  -0.00010492794
               0.6528877                  -0.00010153998
              0.65521944                  -9.7360906e-05
              0.65755117                  -9.2396032e-05
               0.6598829                  -8.6656219e-05
              0.66221464                  -8.0157952e-05
              0.66454637                  -7.2923394e-05
               0.6668781                  -6.4980421e-05
               0.6692099                  -5.6362551e-05
              0.67154163                  -4.7108915e-05
              0.67387336                  -3.7264133e-05
               0.6762051                  -2.6878186e-05
              0.67853683                  -1.6006206e-05
              0.68086857                  -4.7082626e-06
               0.6832003                   6.9509128e-06
              0.68553203                   1.8902236e-05
              0.68786383                   3.1072617e-05
              0.69019556                   4.3385349e-05
              0.69252729                   5.5760527e-05
              0.69485903                   6.8115507e-05
              0.69719076                   8.0365397e-05
               0.6995225                   9.2423557e-05
              0.70185423                   0.00010420218
              0.70418602                   0.00011561282
              0.70651776                   0.00012656701
              0.70884949                   0.00013697687
              0.71118122                   0.00014675572
              0.71351296                   0.00015581863
              0.71584469                   0.00016408326
              0.71817642                   0.00017147027
              0.72050822                   0.00017790408
              0.72283995                   0.00018331347
              0.72517169                   0.00018763219
              0.72750342                   0.00019079955
              0.72983515                   0.00019276098
              0.73216689                   0.00019346866
              0.73449862                   0.00019288191
              0.73683035                   0.00019096781
              0.73916215                   0.00018770152
              0.74149388                   0.00018306678
              0.74382561                   0.00017705619
              0.74615735                   0.00016967161
              0.74848908                   0.00016092428
              0.75082082                    0.0001508351
              0.75315255                   0.00013943473
              0.75548434                    0.0001267637
              0.75781608                    0.0001128723
              0.76014781                   9.7820666e-05
              0.76247954                   8.1678489e-05
              0.76481128                   6.4524931e-05
              0.76714301                   4.6448273e-05
              0.76947474                   2.7545597e-05
              0.77180648                   7.9223637e-06
              0.77413827                  -1.2308077e-05
              0.77647001                   -3.302504e-05
              0.77880174                  -5.4101132e-05
              0.78113347                  -7.5402924e-05
              0.78346521                  -9.6791715e-05
              0.78579694                  -0.00011812431
              0.78812867                  -0.00013925391
              0.79046047                  -0.00016003099
               0.7927922                  -0.00018030425
              0.79512393                   -0.0001999216
              0.79745567                  -0.00021873122
               0.7997874                  -0.00023658253
              0.80211914                  -0.00025332737
              0.80445087                  -0.00026882088
               0.8067826                  -0.00028292291
               0.8091144                  -0.00029549873
              0.81144613                  -0.00030642041
              0.81377786                  -0.00031556771
               0.8161096                   -0.0003228292
              0.81844133                  -0.00032810323
              0.82077307                  -0.00033129886
               0.8231048                  -0.00033233693
              0.82543659                  -0.00033115066
              0.82776833                  -0.00032768678
              0.83010006                  -0.00032190594
              0.83243179                  -0.00031378359
              0.83476353                  -0.00030331052
              0.83709526                  -0.00029049319
              0.83942699                  -0.00027535434
              0.84175873                  -0.00025793308
              0.84409052                  -0.00023828523
              0.84642226                  -0.00021648328
              0.84875399                  -0.00019261644
              0.85108572                  -0.00016679039
              0.85341746                  -0.00013912706
              0.85574919                  -0.00010976428
              0.85808092                  -7.8855199e-05
              0.86041272                  -4.6567675e-05
              0.86274445                   -1.308354e-05
              0.86507618                   2.1402269e-05
              0.86740792                   5.6682697e-05
              0.86973965                   9.2539638e-05
              0.87207139                   0.00012874516
              0.87440312                   0.00016506275
              0.87673485                   0.00020124875
              0.87906665                   0.00023705381
              0.88139838                   0.00027222442
              0.88373011                   0.00030650457
              0.88606185                   0.00033963736
              0.88839358                   0.00037136686
              0.89072531                    0.0004014397
              0.89305705                   0.00042960708
              0.89538884                   0.00045562646
              0.89772058                    0.0004792634
              0.90005231                   0.00050029339
              0.90238404                   0.00051850372
              0.90471578                   0.00053369504
              0.90704751                   0.00054568338
              0.90937924                   0.00055430154
              0.91171104                     0.000559401
              0.91404277                   0.00056085293
               0.9163745                   0.00055855018
              0.91870624                   0.00055240811
              0.92103797                   0.00054236612
              0.92336971                   0.00052838837
              0.92570144                   0.00051046506
              0.92803317                   0.00048861286
              0.93036497                   0.00046287564
               0.9326967                   0.00043332489
              0.93502843                   0.00040005991
              0.93736017                   0.00036320798
               0.9396919                   0.00032292405
              0.94202363                   0.00027939063
              0.94435537                   0.00023281705
              0.94668716                   0.00018343891
               0.9490189                   0.00013151707
              0.95135063                   7.7336568e-05
              0.95368236                   2.1205287e-05
               0.9560141                  -3.6547521e-05
              0.95834583                  -9.5572941e-05
              0.96067756                  -0.00015550425
               0.9630093                  -0.00021595896
              0.96534109                  -0.00027654102
              0.96767282                  -0.00033684316
              0.97000456                  -0.00039644935
              0.97233629                  -0.00045493743
              0.97466803                   -0.0005118819
              0.97699976                  -0.00056685659
              0.97933149                  -0.00061943766
              0.98166329                  -0.00066920649
              0.98399502                  -0.00071575283
              0.98632675                  -0.00075867755
              0.98865849                  -0.00079759571
              0.99099022                  -0.00083213986
              0.99332196                  -0.00086196268
              0.99565369                  -0.00088673976
              0.99798542                  -0.00090617285
               1.0003172                  -0.00091999222
               1.0026489                  -0.00092795928
               1.0049807                  -0.00092986913
               1.0073124                  -0.00092555268
               1.0096442                  -0.00091487885
               1.0119759                  -0.00089775631
               1.0143076                  -0.00087413524
               1.0166394                  -0.00084400864
               1.0189711                   -0.0008074136
               1.0213028                  -0.00076443201
               1.0236346                  -0.00071519124
               1.0259664                  -0.00065986445
               1.0282981                  -0.00059867051
               1.0306299                  -0.00053187372
               1.0329616                  -0.00045978319
               1.0352933                  -0.00038275175
               1.0376251                  -0.00030117488
               1.0399568                  -0.00021548886
               1.0422885                  -0.00012616898
               1.0446203                  -3.3727221e-05
                1.046952                   6.1290229e-05
               1.0492837                   0.00015830592
               1.0516155                   0.00025671418
               1.0539472                   0.00035588467
               1.0562789                   0.00045516589
               1.0586107                    0.0005538892
               1.0609425                   0.00065137283
               1.0632743                   0.00074692641
                1.065606                   0.00083985517
               1.0679377                    0.0009294647
               1.0702695                    0.0010150658
               1.0726012                     0.001095979
               1.0749329                    0.0011715397
               1.0772647                    0.0012411029
               1.0795964                    0.0013040485
               1.0819281                    0.0013597852
               1.0842599                    0.0014077562
               1.0865916                    0.0014474436
               1.0889233                    0.0014783724
               1.0912551                    0.0015001154
               1.0935868                     0.001512297
               1.0959187                    0.0015145971
               1.0982504                    0.0015067545
               1.1005821                    0.0014885708
               1.1029139                    0.0014599122
               1.1052456                    0.0014207128
               1.1075773                    0.0013709764
               1.1099091                    0.0013107788
               1.1122408                    0.0012402679
               1.1145725                    0.0011596654
               1.1169043                     0.001069267
                1.119236                   0.00096944207
               1.1215677                   0.00086063251
               1.1238995                    0.0007433524
               1.1262312                   0.00061818556
                1.128563                   0.00048578365
               1.1308948                   0.00034686326
               1.1332265                    0.0002022027
               1.1355582                   5.2638115e-05
                 1.13789                  -0.00010094068
               1.1402217                  -0.00025759501
               1.1425534                  -0.00041634246
               1.1448852                  -0.00057616259
               1.1472169                  -0.00073600281
               1.1495486                  -0.00089478499
               1.1518804                   -0.0010514117
               1.1542121                   -0.0012047739
               1.1565439                   -0.0013537575
               1.1588756                   -0.0014972511
               1.1612073                   -0.0016341537
               1.1635392                   -0.0017633823
               1.1658709                   -0.0018838798
               1.1682026                   -0.0019946226
               1.1705344                   -0.0020946285
               1.1728661                   -0.0021829645
               1.1751978                   -0.0022587539
               1.1775296                   -0.0023211839
               1.1798613                   -0.0023695128
                1.182193                   -0.0024030765
               1.1845248                   -0.0024212948
               1.1868565                   -0.0024236774
               1.1891882                   -0.0024098295
                 1.19152                   -0.0023794568
               1.1938517                   -0.0023323696
               1.1961834                   -0.0022684869
               1.1985153                   -0.0021878392
                1.200847                    -0.002090571
               1.2031788                   -0.0019769431
               1.2055105                   -0.0018473329
               1.2078422                   -0.0017022346
                1.210174                   -0.0015422591
               1.2125057                   -0.0013681322
               1.2148374                   -0.0011806925
               1.2171692                  -0.00098088861
               1.2195009                  -0.00076977501
               1.2218326                  -0.00054850732
               1.2241644                  -0.00031833717
               1.2264961                  -8.0605663e-05
               1.2288278                   0.00016326339
               1.2311596                   0.00041177138
               1.2334914                   0.00066335319
               1.2358232                   0.00091638626
               1.2381549                    0.0011692003
               1.2404866                    0.0014200875
               1.2428184                    0.0016673134
               1.2451501                    0.0019091272
               1.2474818                    0.0021437749
               1.2498136                    0.0023695088
               1.2521453                    0.0025846022
                1.254477                    0.0027873593
               1.2568088                    0.0029761284
               1.2591405                    0.0031493143
               1.2614722                    0.0033053898
                1.263804                    0.0034429082
               1.2661357                    0.0035605147
               1.2684675                    0.0036569573
               1.2707993                    0.0037310987
                1.273131                    0.0037819257
               1.2754627                    0.0038085592
               1.2777945                     0.003810263
               1.2801262                    0.0037864526
               1.2824579                    0.0037367027
               1.2847897                    0.0036607527
               1.2871214                    0.0035585132
               1.2894531                    0.0034300704
               1.2917849                     0.003275689
               1.2941166                     0.003095815
               1.2964483                    0.0028910765
               1.2987801                    0.0026622841
               1.3011118                    0.0024104288
               1.3034437                    0.0021366796
               1.3057754                    0.0018423803
               1.3081071                    0.0015290432
               1.3104389                    0.0011983439
               1.3127706                   0.00085211283
               1.3151023                   0.00049232633
               1.3174341                    0.0001210972
               1.3197658                  -0.00025933719
               1.3220975                  -0.00064662687
               1.3244293                   -0.0010383227
                1.326761                   -0.0014318908
               1.3290927                   -0.0018247276
               1.3314245                   -0.0022141766
               1.3337562                   -0.0025975436
               1.3360879                   -0.0029721162
               1.3384198                     -0.00333518
               1.3407515                   -0.0036840378
               1.3430833                   -0.0040160278
                1.345415                   -0.0043285424
               1.3477467                   -0.0046190475
               1.3500785                   -0.0048851017
               1.3524102                   -0.0051243729
               1.3547419                   -0.0053346585
               1.3570737                   -0.0055139023
               1.3594054                   -0.0056602117
               1.3617371                   -0.0057718745
               1.3640689                   -0.0058473735
               1.3664006                   -0.0058854027
               1.3687323                   -0.0058848788
               1.3710641                   -0.0058449549
               1.3733959                   -0.0057650311
               1.3757277                   -0.0056447634
               1.3780594                    -0.005484073
               1.3803911                   -0.0052831499
               1.3827229                   -0.0050424612
               1.3850546                   -0.0047627511
               1.3873863                   -0.0044450429
               1.3897181                   -0.0040906388
               1.3920498                   -0.0037011164
               1.3943815                   -0.0032783237
               1.3967133                   -0.0028243733
                1.399045                   -0.0023416339
               1.4013767                    -0.001832719
               1.4037085                   -0.0013004754
               1.4060402                  -0.00074796879
                1.408372                  -0.00017846732
               1.4107038                   0.00040457546
               1.4130355                   0.00099754031
               1.4153672                    0.0015966633
                1.417699                    0.0021980572
               1.4200307                    0.0027977368
               1.4223624                    0.0033916419
               1.4246942                    0.0039756643
               1.4270259                    0.0045456742
               1.4293576                    0.0050975471
               1.4316894                     0.005627193
               1.4340211                    0.0061305827
               1.4363528                    0.0066037797
               1.4386846                    0.0070429645
               1.4410164                     0.007444466
               1.4433482                    0.0078047882
               1.4456799                    0.0081206383
               1.4480116                    0.0083889533
               1.4503434                    0.0086069219
               1.4526751                    0.0087720165
               1.4550068                    0.0088820076
               1.4573386                    0.0089349905
               1.4596703                    0.0089294044
                1.462002                    0.0088640498
               1.4643338                    0.0087381024
               1.4666655                    0.0085511291
               1.4689972                    0.0083030974
                1.471329                    0.0079943854
               1.4736607                    0.0076257866
               1.4759926                     0.007198514
               1.4783243                    0.0067142001
                1.480656                    0.0061748959
               1.4829878                    0.0055830651
               1.4853195                    0.0049415738
               1.4876512                     0.004253685
                1.489983                    0.0035230382
               1.4923147                    0.0027536384
               1.4946464                    0.0019498332
               1.4969782                    0.0011162919
               1.4993099                   0.00025798025
               1.5016416                  -0.00061986642
               1.5039734                   -0.0015117736
               1.5063051                   -0.0024120586
               1.5086368                   -0.0033148662
               1.5109687                   -0.0042142025
               1.5133004                   -0.0051039741
               1.5156322                   -0.0059780264
               1.5179639                   -0.0068301843
               1.5202956                   -0.0076542925
               1.5226274                   -0.0084442589
               1.5249591                   -0.0091940947
               1.5272908                   -0.0098979603
               1.5296226                    -0.010550203
               1.5319543                    -0.011145404
                1.534286                    -0.011678415
               1.5366178                    -0.012144403
               1.5389495                    -0.012538885
               1.5412812                    -0.012857767
                1.543613                     -0.01309738
               1.5459448                    -0.013254515
               1.5482765                    -0.013326449
