Time / ns                o1,1/real
----------------------------------------------------------------------
                       0                  -5.6695037e-20
            0.0019615726                    6.800882e-19
            0.0039231451                   1.0518073e-17
            0.0058847181                   4.7315224e-17
            0.0078462902                   1.3750661e-16
            0.0098078633                   3.0463826e-16
             0.011769436                   5.5262849e-16
             0.013731008                   8.9107866e-16
              0.01569258                   1.4437136e-15
             0.017654154                    2.054835e-15
             0.019615727                   2.7703051e-15
             0.021577299                   3.2864391e-15
             0.023538873                    3.158801e-15
             0.025500445                    1.985217e-15
             0.027462017                  -6.1550581e-16
             0.029423591                    -5.34403e-15
             0.031385161                  -1.3264272e-14
             0.033346735                  -2.5376944e-14
             0.035308309                  -4.2889622e-14
             0.037269879                  -6.6267677e-14
             0.039231453                  -9.6673415e-14
             0.041193027                  -1.3525033e-13
             0.043154597                  -1.8333452e-13
             0.045116171                  -2.4243089e-13
             0.047077745                  -3.1383834e-13
             0.049039315                  -3.9891728e-13
             0.051000889                   -4.986043e-13
             0.052962463                  -6.1357251e-13
             0.054924034                  -7.4393443e-13
             0.056885608                  -8.8947843e-13
             0.058847181                  -1.0494772e-12
             0.060808752                  -1.2221594e-12
             0.062770322                  -1.4050133e-12
             0.064731896                  -1.5943598e-12
              0.06669347                  -1.7855078e-12
             0.068655044                  -1.9727995e-12
             0.070616618                  -2.1495145e-12
             0.072578192                  -2.3080893e-12
             0.074539758                  -2.4400534e-12
             0.076501332                  -2.5364875e-12
             0.078462906                  -2.5884544e-12
              0.08042448                  -2.5867633e-12
             0.082386054                  -2.5219622e-12
             0.084347628                  -2.3850869e-12
             0.086309195                  -2.1675817e-12
             0.088270769                  -1.8617868e-12
             0.090232342                  -1.4620957e-12
             0.092193916                  -9.6386581e-13
              0.09415549                  -3.6299821e-13
             0.096117064                   3.4310646e-13
             0.098078631                   1.1554366e-12
               0.1000402                   2.0729492e-12
              0.10200178                    3.094506e-12
              0.10396335                   4.2182646e-12
              0.10592493                    5.440621e-12
              0.10788649                   6.7609802e-12
              0.10984807                   8.1804346e-12
              0.11180964                   9.7017975e-12
              0.11377122                    1.133215e-11
              0.11573279                   1.3085064e-11
              0.11769436                   1.4979908e-11
              0.11965593                    1.704706e-11
               0.1216175                   1.9327802e-11
              0.12357908                   2.1875845e-11
              0.12554064                   2.4760005e-11
              0.12750222                   2.8064492e-11
              0.12946379                    3.189192e-11
              0.13142537                   3.6365976e-11
              0.13338694                   4.1633447e-11
              0.13534851                   4.7864553e-11
              0.13731009                   5.5253226e-11
              0.13927166                   6.4018207e-11
              0.14123324                   7.4402227e-11
              0.14319481                   8.6671635e-11
              0.14515638                   1.0111371e-10
              0.14711796                   1.1803478e-10
              0.14907952                   1.3775663e-10
              0.15104109                    1.606113e-10
              0.15300266                   1.8693544e-10
              0.15496424                   2.1706292e-10
              0.15692581                   2.5131658e-10
              0.15888739                   2.8999803e-10
              0.16084896                   3.3337649e-10
              0.16281053                   3.8167669e-10
              0.16477211                   4.3506457e-10
              0.16673368                   4.9363236e-10
