Time / ns                o3,3/real
----------------------------------------------------------------------
                       0                  -5.6695037e-20
            0.0019615726                    6.800882e-19
            0.0039231451                   1.0518073e-17
            0.0058847181                   4.0066333e-17
            0.0078462902                   9.7818799e-17
            0.0098078633                   1.7537703e-16
             0.011769436                   2.4944909e-16
             0.013731008                    3.185818e-16
              0.01569258                   3.8144075e-16
             0.017654154                   5.2386087e-16
             0.019615727                   8.8791372e-16
             0.021577299                   1.2636576e-15
             0.023538873                   1.6147638e-15
             0.025500445                   1.9345178e-15
             0.027462017                   2.1588934e-15
             0.029423591                   1.8202912e-15
             0.031385161                   2.3041022e-16
             0.033346735                  -3.5056561e-15
             0.035308309                  -1.0297911e-14
             0.037269879                  -2.1749107e-14
             0.039231453                   -3.960184e-14
             0.041193027                  -6.5009562e-14
             0.043154597                  -9.9673511e-14
             0.045116171                  -1.4523124e-13
             0.047077745                  -2.0322603e-13
             0.049039315                  -2.7531227e-13
             0.051000889                  -3.6247364e-13
             0.052962463                  -4.6552887e-13
             0.054924034                    -5.85006e-13
             0.056885608                  -7.2079094e-13
             0.058847181                  -8.7193441e-13
             0.060808752                  -1.0368526e-12
             0.062770322                  -1.2130778e-12
             0.064731896                  -1.3971931e-12
              0.06669347                  -1.5847115e-12
             0.068655044                  -1.7702135e-12
             0.070616618                  -1.9471315e-12
             0.072578192                  -2.1077276e-12
             0.074539758                  -2.2432793e-12
             0.076501332                  -2.3449337e-12
             0.078462906                  -2.4038512e-12
              0.08042448                  -2.4114888e-12
             0.082386054                  -2.3591196e-12
             0.084347628                  -2.2378143e-12
             0.086309195                  -2.0391174e-12
             0.088270769                  -1.7555322e-12
             0.090232342                  -1.3810998e-12
             0.092193916                  -9.1089571e-13
              0.09415549                  -3.4027008e-13
             0.096117064                   3.3534216e-13
             0.098078631                   1.1170269e-12
               0.1000402                   2.0045137e-12
              0.10200178                   2.9967077e-12
              0.10396335                   4.0929335e-12
              0.10592493                   5.2913906e-12
              0.10788649                   6.5904109e-12
              0.10984807                   7.9894806e-12
              0.11180964                   9.4918578e-12
              0.11377122                   1.1106879e-11
              0.11573279                   1.2847968e-11
              0.11769436                   1.4736119e-11
              0.11965593                    1.680091e-11
               0.1216175                   1.9083424e-11
              0.12357908                   2.1637098e-11
              0.12554064                     2.45304e-11
              0.12750222                   2.7850606e-11
              0.12946379                   3.1702356e-11
              0.13142537                   3.6212363e-11
              0.13338694                   4.1526407e-11
              0.13534851                   4.7813756e-11
              0.13731009                   5.5267787e-11
              0.13927166                   6.4105742e-11
              0.14123324                   7.4568872e-11
              0.14319481                   8.6921005e-11
              0.14515638                   1.0144693e-10
              0.14711796                   1.1845017e-10
              0.14907952                   1.3825019e-10
              0.15104109                   1.6117685e-10
              0.15300266                   1.8756494e-10
              0.15496424                   2.1774671e-10
              0.15692581                   2.5204336e-10
              0.15888739                   2.9075561e-10
              0.16084896                    3.341519e-10
              0.16281053                   3.8245607e-10
              0.16477211                   4.3583412e-10
              0.16673368                   4.9437843e-10
