Time / ns                i3/real
----------------------------------------------------------------------
                       0                  -1.0794679e-08
             0.001592946                   3.2749767e-09
             0.003185892                   1.3424501e-06
            0.0047788378                   1.3484987e-06
             0.006371784                   1.3503526e-06
            0.0079647303                   1.3479031e-06
            0.0095576756                    1.341053e-06
             0.011150622                   1.3297165e-06
             0.012743568                   1.3138208e-06
             0.014336514                   1.2933056e-06
             0.015929461                   1.2681243e-06
             0.017522406                   1.2382444e-06
             0.019115351                   1.2036477e-06
             0.020708298                   1.1643308e-06
             0.022301244                   1.1203055e-06
             0.023894191                   1.0715993e-06
             0.025487136                   1.0182554e-06
             0.027080081                   9.6033307e-07
             0.028673029                   8.9790791e-07
             0.030265974                   8.3107187e-07
             0.031858921                   7.5993341e-07
             0.033451866                   6.8461765e-07
             0.035044812                   6.0526622e-07
             0.036637757                   5.2203717e-07
             0.038230702                   4.3510505e-07
             0.039823651                   3.4466058e-07
             0.041416597                   2.5091049e-07
             0.043009542                   1.5407718e-07
             0.044602487                   5.4398438e-08
             0.046195433                  -4.7873002e-08
             0.047788382                  -1.5246989e-07
             0.049381327                    -2.59111e-07
             0.050974272                  -3.6750174e-07
             0.052567217                  -4.7733465e-07
             0.054160163                  -5.8829022e-07
             0.055753108                  -7.0003773e-07
             0.057346057                  -8.1223567e-07
             0.058939002                  -9.2453314e-07
             0.060531948                  -1.0365702e-06
             0.062124893                  -1.1479793e-06
             0.063717842                  -1.2583859e-06
             0.065310784                  -1.3674098e-06
             0.066903733                  -1.4746662e-06
             0.068496674                  -1.5797666e-06
             0.070089623                  -1.6823202e-06
             0.071682572                  -1.7819351e-06
             0.073275514                  -1.8782197e-06
             0.074868463                  -1.9707832e-06
             0.076461405                  -2.0592381e-06
             0.078054354                  -2.1432006e-06
             0.079647303                  -2.2222923e-06
             0.081240244                  -2.2961412e-06
             0.082833193                   -2.364384e-06
             0.084426135                  -2.4266662e-06
             0.086019084                  -2.4826445e-06
             0.087612033                  -2.5319875e-06
             0.089204974                  -2.5743775e-06
             0.090797924                  -2.6095117e-06
             0.092390865                  -2.6371035e-06
             0.093983814                  -2.6568839e-06
             0.095576763                  -2.6686025e-06
             0.097169705                  -2.6720293e-06
             0.098762654                  -2.6669554e-06
               0.1003556                  -2.6531945e-06
              0.10194854                   -2.630584e-06
              0.10354149                  -2.5989859e-06
              0.10513443                  -2.5582881e-06
              0.10672738                   -2.508405e-06
              0.10832033                   -2.449279e-06
              0.10991327                  -2.3808807e-06
              0.11150622                  -2.3032101e-06
              0.11309917                  -2.2162972e-06
              0.11469211                  -2.1202022e-06
              0.11628506                  -2.0150171e-06
                0.117878                  -1.9008646e-06
              0.11947095                     -1.7779e-06
               0.1210639                  -1.6463105e-06
              0.12265684                  -1.5063151e-06
              0.12424979                  -1.3581659e-06
              0.12584274                  -1.2021469e-06
              0.12743568                  -1.0385742e-06
              0.12902862                  -8.6779568e-07
              0.13062157                  -6.9019097e-07
              0.13221452                  -5.0617058e-07
              0.13380747                  -3.1617532e-07
              0.13540041                  -1.2067572e-07
              0.13699335                   7.9828773e-08
               0.1385863                   2.8481085e-07
              0.14017925                   4.9371636e-07
               0.1417722                   7.0596542e-07
              0.14336514                   9.2095371e-07
              0.14495808                   1.1380539e-06
              0.14655103                   1.3566172e-06
              0.14814398                   1.5759746e-06
              0.14973693                   1.7954391e-06
              0.15132987                    2.014307e-06
              0.15292281                   2.2318607e-06
              0.15451576                   2.4473688e-06
              0.15610871                   2.6600906e-06
              0.15770166                   2.8692762e-06
              0.15929461                   3.0741701e-06
              0.16088754                   3.2740129e-06
              0.16248049                   3.4680434e-06
              0.16407344                   3.6555016e-06
              0.16566639                   3.8356311e-06
              0.16725934                   4.0076811e-06
              0.16885227                     4.17091e-06
              0.17044522                   4.3245868e-06
              0.17203817                   4.4679941e-06
              0.17363112                   4.6004316e-06
              0.17522407                   4.7212179e-06
                0.176817                   4.8296924e-06
              0.17840995                   4.9252203e-06
               0.1800029                   5.0071926e-06
              0.18159585                   5.0750309e-06
               0.1831888                   5.1281872e-06
              0.18478173                   5.1661505e-06
              0.18637468                   5.1884454e-06
              0.18796763                   5.1946358e-06
              0.18956058                   5.1843281e-06
              0.19115353                   5.1571728e-06
              0.19274646                   5.1128659e-06
              0.19433941                   5.0511526e-06
              0.19593236                   4.9718278e-06
              0.19752531                   4.8747379e-06
              0.19911824                   4.7597846e-06
              0.20071119                   4.6269229e-06
              0.20230414                   4.4761655e-06
              0.20389709                   4.3075834e-06
              0.20549004                   4.1213061e-06
              0.20708297                   3.9175234e-06
              0.20867592                   3.6964855e-06
              0.21026887                   3.4585046e-06
              0.21186182                   3.2039538e-06
              0.21345477                   2.9332689e-06
               0.2150477                   2.6469477e-06
              0.21664065                   2.3455491e-06
               0.2182336                   2.0296943e-06
              0.21982655                   1.7000648e-06
               0.2214195                   1.3574022e-06
              0.22301243                   1.0025072e-06
              0.22460538                   6.3623833e-07
              0.22619833                   2.5951019e-07
              0.22779128                  -1.2670785e-07
              0.22938423                  -5.2139359e-07
              0.23097716                  -9.2347426e-07
              0.23257011                  -1.3318287e-06
              0.23416306                  -1.7452899e-06
              0.23575601                  -2.1626477e-06
              0.23734896                  -2.5826516e-06
              0.23894189                  -3.0040144e-06
              0.24053484                  -3.4254149e-06
              0.24212779                  -3.8455014e-06
              0.24372074                  -4.2628963e-06
              0.24531369                  -4.6761984e-06
              0.24690662                  -5.0839885e-06
              0.24849957                  -5.4848324e-06
              0.25009251                  -5.8772857e-06
              0.25168547                  -6.2598979e-06
               0.2532784                  -6.6312173e-06
              0.25487137                  -6.9897965e-06
               0.2564643                  -7.3341944e-06
              0.25805724                  -7.6629849e-06
               0.2596502                   -7.974757e-06
              0.26124313                  -8.2681263e-06
               0.2628361                  -8.5417323e-06
              0.26442903                   -8.794249e-06
              0.26602197                  -9.0243893e-06
              0.26761493                  -9.2309074e-06
              0.26920786                  -9.4126044e-06
              0.27080083                  -9.5683381e-06
              0.27239376                  -9.6970189e-06
               0.2739867                  -9.7976226e-06
              0.27557966                  -9.8691926e-06
               0.2771726                   -9.910842e-06
              0.27876556                  -9.9217623e-06
              0.28035849                  -9.9012232e-06
              0.28195143                  -9.8485816e-06
              0.28354439                   -9.763281e-06
              0.28513733                  -9.6448584e-06
              0.28673029                  -9.4929464e-06
              0.28832322                  -9.3072786e-06
              0.28991616                  -9.0876893e-06
              0.29150912                  -8.8341194e-06
              0.29310206                  -8.5466154e-06
              0.29469502                  -8.2253373e-06
              0.29628795                  -7.8705543e-06
              0.29788089                  -7.4826512e-06
              0.29947385                  -7.0621277e-06
              0.30106679                  -6.6095981e-06
              0.30265975                  -6.1257947e-06
              0.30425268                  -5.6115668e-06
              0.30584562                  -5.0678796e-06
              0.30743858                  -4.4958147e-06
              0.30903152                  -3.8965695e-06
              0.31062448                  -3.2714556e-06
              0.31221741                  -2.6218966e-06
              0.31381035                  -1.9494262e-06
              0.31540331                  -1.2556862e-06
              0.31699625                  -5.4242389e-07
              0.31858921                   1.8851267e-07
              0.32018214                   9.3517707e-07
              0.32177508                    1.695529e-06
              0.32336804                   2.4674391e-06
              0.32496098                    3.248693e-06
              0.32655394                   4.0369973e-06
              0.32814687                   4.8299858e-06
              0.32973981                   5.6252229e-06
              0.33133277                    6.420214e-06
              0.33292571                   7.2124076e-06
              0.33451867                   7.9992069e-06
              0.33611161                   8.7779727e-06
              0.33770454                   9.5460346e-06
               0.3392975                   1.0300698e-05
              0.34089044                   1.1039248e-05
               0.3424834                   1.1758967e-05
              0.34407634                   1.2457133e-05
              0.34566927                   1.3131036e-05
              0.34726223                   1.3777983e-05
              0.34885517                   1.4395307e-05
              0.35044813                   1.4980378e-05
              0.35204107                   1.5530613e-05
                0.353634                   1.6043481e-05
              0.35522696                    1.651652e-05
               0.3568199                   1.6947335e-05
              0.35841286                   1.7333618e-05
               0.3600058                   1.7673154e-05
              0.36159873                   1.7963825e-05
              0.36319169                   1.8203627e-05
              0.36478463                   1.8390676e-05
              0.36637759                   1.8523211e-05
              0.36797053                   1.8599612e-05
              0.36956346                   1.8618402e-05
              0.37115642                   1.8578256e-05
              0.37274936                   1.8478007e-05
              0.37434232                   1.8316661e-05
              0.37593526                   1.8093391e-05
              0.37752819                   1.7807559e-05
              0.37912115                   1.7458706e-05
              0.38071409                   1.7046566e-05
              0.38230705                   1.6571077e-05
              0.38389999                   1.6032369e-05
              0.38549292                   1.5430787e-05
              0.38708588                   1.4766879e-05
              0.38867882                   1.4041406e-05
              0.39027178                   1.3255343e-05
              0.39186472                   1.2409883e-05
              0.39345765                   1.1506432e-05
              0.39505062                   1.0546614e-05
              0.39664355                   9.5322685e-06
              0.39823648                   8.4654512e-06
              0.39982945                   7.3484293e-06
              0.40142238                   6.1836804e-06
              0.40301535                   4.9738883e-06
              0.40460828                   3.7219411e-06
              0.40620121                   2.4309227e-06
              0.40779418                   1.1041101e-06
              0.40938711                  -2.5503434e-07
              0.41098008                  -1.6428696e-06
              0.41257301                  -3.0555839e-06
              0.41416594                  -4.4892035e-06
              0.41575891                   -5.939602e-06
              0.41735184                  -7.4025102e-06
              0.41894481                  -8.8735251e-06
              0.42053774                  -1.0348125e-05
              0.42213067                  -1.1821678e-05
              0.42372364                  -1.3289455e-05
              0.42531657                  -1.4746645e-05
              0.42690954                  -1.6188367e-05
              0.42850247                  -1.7609686e-05
               0.4300954                   -1.900562e-05
              0.43168837                   -2.037117e-05
               0.4332813                  -2.1701318e-05
              0.43487427                   -2.299106e-05
               0.4364672                  -2.4235409e-05
              0.43806013                  -2.5429417e-05
               0.4396531                  -2.6568194e-05
              0.44124603                  -2.7646915e-05
                0.442839                  -2.8660852e-05
              0.44443193                  -2.9605379e-05
              0.44602486                  -3.0475994e-05
              0.44761783                  -3.1268337e-05
              0.44921076                  -3.1978198e-05
              0.45080373                  -3.2601554e-05
              0.45239666                  -3.3134562e-05
               0.4539896                  -3.3573593e-05
              0.45558256                  -3.3915232e-05
              0.45717549                  -3.4156317e-05
              0.45876846                  -3.4293927e-05
              0.46036139                  -3.4325421e-05
              0.46195433                  -3.4248431e-05
              0.46354729                  -3.4060897e-05
              0.46514022                  -3.3761055e-05
              0.46673319                  -3.3347478e-05
              0.46832612                  -3.2819062e-05
              0.46991906                  -3.2175049e-05
              0.47151202                  -3.1415038e-05
              0.47310495                  -3.0538991e-05
              0.47469792                  -2.9547236e-05
              0.47629085                  -2.8440481e-05
              0.47788379                  -2.7219816e-05
