Time / ns                i2/real
----------------------------------------------------------------------
                       0                  -1.0794679e-08
             0.001592946                   3.2749767e-09
             0.003185892                   1.3424501e-06
            0.0047788378                   1.3484987e-06
             0.006371784                   1.3503526e-06
            0.0079647303                   1.3479031e-06
            0.0095576756                    1.341053e-06
             0.011150622                   1.3297165e-06
             0.012743568                   1.3138208e-06
             0.014336513                   1.2933056e-06
             0.015929461                   1.2681243e-06
             0.017522406                   1.2382444e-06
             0.019115351                   1.2036477e-06
             0.020708298                   1.1643308e-06
             0.022301244                   1.1203055e-06
             0.023894189                   1.0715993e-06
             0.025487136                   1.0182554e-06
             0.027080081                   9.6033307e-07
             0.028673027                   8.9790791e-07
             0.030265974                   8.3107187e-07
             0.031858921                   7.5993347e-07
             0.033451866                    6.846177e-07
             0.035044812                   6.0526622e-07
             0.036637757                   5.2203717e-07
             0.038230702                   4.3510508e-07
             0.039823648                   3.4466061e-07
             0.041416597                   2.5091052e-07
             0.043009542                   1.5407721e-07
             0.044602487                   5.4398466e-08
             0.046195433                  -4.7872973e-08
             0.047788378                  -1.5246987e-07
             0.049381327                  -2.5911098e-07
             0.050974272                  -3.6750168e-07
             0.052567217                  -4.7733459e-07
             0.054160163                  -5.8829022e-07
             0.055753108                  -7.0003767e-07
             0.057346053                  -8.1223567e-07
             0.058939002                  -9.2453308e-07
             0.060531948                  -1.0365702e-06
             0.062124893                  -1.1479792e-06
             0.063717842                  -1.2583859e-06
             0.065310784                  -1.3674098e-06
             0.066903733                  -1.4746662e-06
             0.068496674                  -1.5797665e-06
             0.070089623                  -1.6823202e-06
             0.071682572                  -1.7819351e-06
             0.073275514                  -1.8782196e-06
             0.074868463                  -1.9707832e-06
             0.076461405                  -2.0592381e-06
             0.078054354                  -2.1432006e-06
             0.079647295                  -2.2222923e-06
             0.081240244                  -2.2961412e-06
             0.082833193                   -2.364384e-06
             0.084426135                  -2.4266662e-06
             0.086019084                  -2.4826445e-06
             0.087612025                  -2.5319875e-06
             0.089204974                  -2.5743775e-06
             0.090797924                  -2.6095117e-06
             0.092390865                  -2.6371035e-06
             0.093983814                  -2.6568839e-06
             0.095576756                  -2.6686025e-06
             0.097169705                  -2.6720293e-06
             0.098762654                  -2.6669554e-06
               0.1003556                  -2.6531945e-06
              0.10194854                   -2.630584e-06
              0.10354149                  -2.5989859e-06
              0.10513443                  -2.5582881e-06
              0.10672738                   -2.508405e-06
              0.10832033                   -2.449279e-06
              0.10991327                  -2.3808807e-06
              0.11150622                  -2.3032101e-06
              0.11309917                  -2.2162972e-06
              0.11469211                  -2.1202022e-06
              0.11628506                  -2.0150171e-06
                0.117878                  -1.9008647e-06
              0.11947095                  -1.7779001e-06
               0.1210639                  -1.6463105e-06
              0.12265684                  -1.5063152e-06
              0.12424979                  -1.3581661e-06
              0.12584274                   -1.202147e-06
              0.12743568                  -1.0385743e-06
              0.12902862                  -8.6779579e-07
              0.13062157                  -6.9019114e-07
              0.13221452                  -5.0617075e-07
              0.13380747                  -3.1617546e-07
              0.13540041                  -1.2067589e-07
              0.13699335                   7.9828602e-08
               0.1385863                   2.8481068e-07
              0.14017925                   4.9371619e-07
               0.1417722                   7.0596525e-07
              0.14336514                   9.2095354e-07
              0.14495808                   1.1380537e-06
              0.14655103                    1.356617e-06
              0.14814398                   1.5759744e-06
              0.14973693                   1.7954388e-06
              0.15132987                   2.0143068e-06
              0.15292281                   2.2318604e-06
              0.15451576                   2.4473686e-06
              0.15610871                   2.6600903e-06
              0.15770166                   2.8692759e-06
              0.15929459                   3.0741699e-06
              0.16088754                   3.2740127e-06
              0.16248049                   3.4680431e-06
              0.16407344                   3.6555014e-06
              0.16566639                   3.8356307e-06
              0.16725932                   4.0076811e-06
              0.16885227                     4.17091e-06
              0.17044522                   4.3245864e-06
              0.17203817                   4.4679941e-06
              0.17363112                   4.6004316e-06
              0.17522405                   4.7212175e-06
                0.176817                   4.8296924e-06
              0.17840995                   4.9252203e-06
               0.1800029                   5.0071926e-06
              0.18159585                   5.0750305e-06
              0.18318878                   5.1281872e-06
              0.18478173                   5.1661505e-06
              0.18637468                   5.1884454e-06
              0.18796763                   5.1946358e-06
              0.18956058                   5.1843281e-06
              0.19115351                   5.1571728e-06
              0.19274646                   5.1128659e-06
              0.19433941                   5.0511526e-06
              0.19593236                   4.9718278e-06
              0.19752531                   4.8747384e-06
              0.19911824                   4.7597846e-06
              0.20071119                   4.6269229e-06
              0.20230414                   4.4761655e-06
              0.20389709                   4.3075838e-06
              0.20549004                   4.1213066e-06
              0.20708297                   3.9175238e-06
              0.20867592                   3.6964859e-06
              0.21026887                   3.4585048e-06
              0.21186182                   3.2039541e-06
              0.21345477                   2.9332693e-06
               0.2150477                   2.6469479e-06
              0.21664065                   2.3455495e-06
               0.2182336                   2.0296948e-06
              0.21982655                   1.7000652e-06
              0.22141948                   1.3574027e-06
              0.22301243                   1.0025077e-06
              0.22460538                   6.3623884e-07
              0.22619833                    2.595107e-07
              0.22779128                  -1.2670731e-07
              0.22938421                  -5.2139308e-07
              0.23097716                  -9.2347369e-07
              0.23257011                  -1.3318281e-06
              0.23416306                  -1.7452893e-06
              0.23575601                   -2.162647e-06
              0.23734894                  -2.5826509e-06
              0.23894189                  -3.0040137e-06
              0.24053484                  -3.4254142e-06
              0.24212779                  -3.8455009e-06
              0.24372074                  -4.2628958e-06
              0.24531367                  -4.6761979e-06
              0.24690662                  -5.0839881e-06
              0.24849957                  -5.4848319e-06
              0.25009251                  -5.8772848e-06
              0.25168547                   -6.259897e-06
               0.2532784                  -6.6312168e-06
              0.25487137                   -6.989796e-06
               0.2564643                  -7.3341939e-06
              0.25805724                   -7.662984e-06
               0.2596502                   -7.974757e-06
              0.26124313                  -8.2681254e-06
               0.2628361                  -8.5417314e-06
              0.26442903                   -8.794249e-06
              0.26602197                  -9.0243893e-06
              0.26761493                  -9.2309065e-06
              0.26920786                  -9.4126044e-06
              0.27080083                  -9.5683372e-06
              0.27239376                  -9.6970189e-06
               0.2739867                  -9.7976226e-06
              0.27557966                  -9.8691926e-06
               0.2771726                   -9.910842e-06
              0.27876556                  -9.9217623e-06
              0.28035849                  -9.9012232e-06
              0.28195143                  -9.8485816e-06
              0.28354439                   -9.763281e-06
              0.28513733                  -9.6448584e-06
              0.28673029                  -9.4929474e-06
              0.28832322                  -9.3072795e-06
              0.28991616                  -9.0876902e-06
              0.29150912                  -8.8341194e-06
              0.29310206                  -8.5466163e-06
              0.29469502                  -8.2253373e-06
              0.29628795                  -7.8705552e-06
              0.29788089                  -7.4826521e-06
              0.29947385                  -7.0621281e-06
              0.30106679                   -6.609599e-06
              0.30265975                  -6.1257956e-06
              0.30425268                  -5.6115678e-06
              0.30584562                  -5.0678805e-06
              0.30743858                  -4.4958156e-06
              0.30903152                  -3.8965709e-06
              0.31062448                  -3.2714568e-06
              0.31221741                  -2.6218977e-06
              0.31381035                  -1.9494273e-06
              0.31540331                  -1.2556876e-06
              0.31699625                  -5.4242531e-07
              0.31858918                   1.8851125e-07
              0.32018214                   9.3517559e-07
              0.32177508                   1.6955275e-06
              0.32336804                   2.4674375e-06
              0.32496098                   3.2486914e-06
              0.32655391                    4.036996e-06
              0.32814687                   4.8299839e-06
              0.32973981                   5.6252215e-06
              0.33133277                   6.4202122e-06
              0.33292571                   7.2124062e-06
              0.33451864                   7.9992051e-06
              0.33611161                   8.7779708e-06
              0.33770454                   9.5460337e-06
               0.3392975                   1.0300696e-05
              0.34089044                   1.1039247e-05
              0.34248337                   1.1758966e-05
              0.34407634                   1.2457132e-05
              0.34566927                   1.3131035e-05
              0.34726223                   1.3777982e-05
              0.34885517                   1.4395306e-05
               0.3504481                   1.4980377e-05
              0.35204107                   1.5530612e-05
                0.353634                   1.6043481e-05
              0.35522696                   1.6516518e-05
               0.3568199                   1.6947333e-05
              0.35841283                   1.7333618e-05
               0.3600058                   1.7673152e-05
              0.36159873                   1.7963825e-05
              0.36319169                   1.8203627e-05
              0.36478463                   1.8390676e-05
              0.36637756                   1.8523211e-05
              0.36797053                   1.8599612e-05
              0.36956346                   1.8618402e-05
              0.37115642                   1.8578256e-05
              0.37274936                   1.8478007e-05
              0.37434229                   1.8316661e-05
              0.37593526                   1.8093393e-05
              0.37752819                   1.7807559e-05
              0.37912115                   1.7458706e-05
              0.38071409                   1.7046566e-05
              0.38230702                   1.6571077e-05
              0.38389999                   1.6032371e-05
              0.38549292                   1.5430789e-05
              0.38708588                   1.4766881e-05
              0.38867882                   1.4041408e-05
              0.39027175                   1.3255345e-05
              0.39186472                   1.2409885e-05
              0.39345765                   1.1506434e-05
              0.39505062                   1.0546616e-05
              0.39664355                   9.5322712e-06
              0.39823648                   8.4654539e-06
              0.39982945                   7.3484321e-06
              0.40142238                   6.1836831e-06
              0.40301535                   4.9738915e-06
              0.40460828                    3.721944e-06
              0.40620121                   2.4309259e-06
              0.40779418                   1.1041134e-06
              0.40938711                  -2.5503093e-07
              0.41098008                  -1.6428661e-06
              0.41257301                  -3.0555805e-06
              0.41416594                  -4.4891999e-06
              0.41575891                  -5.9395984e-06
              0.41735184                  -7.4025061e-06
              0.41894481                  -8.8735214e-06
              0.42053774                  -1.0348122e-05
              0.42213067                  -1.1821674e-05
              0.42372364                  -1.3289451e-05
              0.42531657                  -1.4746642e-05
              0.42690954                  -1.6188364e-05
              0.42850247                  -1.7609682e-05
               0.4300954                  -1.9005616e-05
              0.43168837                  -2.0371166e-05
               0.4332813                  -2.1701315e-05
              0.43487427                  -2.2991057e-05
               0.4364672                  -2.4235407e-05
              0.43806013                  -2.5429415e-05
               0.4396531                   -2.656819e-05
              0.44124603                  -2.7646913e-05
              0.44283897                   -2.866085e-05
              0.44443193                  -2.9605377e-05
              0.44602486                  -3.0475992e-05
              0.44761783                  -3.1268333e-05
              0.44921076                  -3.1978198e-05
               0.4508037                  -3.2601554e-05
              0.45239666                  -3.3134562e-05
               0.4539896                  -3.3573589e-05
              0.45558256                  -3.3915232e-05
              0.45717549                  -3.4156317e-05
              0.45876843                  -3.4293927e-05
              0.46036139                  -3.4325421e-05
              0.46195433                  -3.4248431e-05
              0.46354729                  -3.4060897e-05
              0.46514022                  -3.3761058e-05
              0.46673316                  -3.3347478e-05
              0.46832612                  -3.2819062e-05
              0.46991906                  -3.2175052e-05
              0.47151202                  -3.1415042e-05
              0.47310495                  -3.0538995e-05
              0.47469789                   -2.954724e-05
              0.47629085                  -2.8440485e-05
              0.47788379                  -2.7219819e-05
