Time / ns                o3,3/real
----------------------------------------------------------------------
                       0                               0
            0.0015929469                               0
            0.0031858939                               0
            0.0047788406                               0
            0.0063717877                   1.6124804e-17
            0.0079647349                   6.9667547e-17
            0.0095576812                    1.975536e-16
             0.011150628                   4.0886227e-16
             0.012743575                   7.0081881e-16
             0.014336523                   1.0910528e-15
              0.01592947                   1.4669961e-15
             0.017522415                   1.8237828e-15
             0.019115362                    2.156851e-15
             0.020708309                   2.4620139e-15
             0.022301257                   2.6494305e-15
             0.023894204                   2.4589887e-15
             0.025487151                   1.8936355e-15
             0.027080098                    8.752348e-16
             0.028673045                  -8.4023921e-16
             0.030265991                  -3.5737205e-15
              0.03185894                   -7.976887e-15
             0.033451885                  -1.4507686e-14
              0.03504483                  -2.3596078e-14
             0.036637779                  -3.5638894e-14
             0.038230725                  -5.1339307e-14
             0.039823674                  -7.1353595e-14
             0.041416619                  -9.6626849e-14
             0.043009568                  -1.2752139e-13
             0.044602513                  -1.6415661e-13
             0.046195459                  -2.0675276e-13
             0.047788408                  -2.5545703e-13
             0.049381353                   -3.099991e-13
             0.050974302                  -3.7055556e-13
             0.052567247                  -4.3706168e-13
             0.054160196                  -5.0929953e-13
             0.055753142                  -5.8673064e-13
             0.057346091                  -6.6850513e-13
             0.058939036                  -7.5364622e-13
             0.060531981                  -8.4110805e-13
              0.06212493                  -9.2940412e-13
             0.063717879                  -1.0168215e-12
             0.065310821                  -1.1014826e-12
              0.06690377                   -1.181274e-12
             0.068496719                  -1.2538746e-12
             0.070089661                  -1.3167114e-12
              0.07168261                  -1.3670841e-12
             0.073275559                  -1.4019202e-12
             0.074868508                  -1.4182007e-12
             0.076461449                  -1.4123522e-12
             0.078054398                  -1.3809357e-12
             0.079647347                  -1.3206018e-12
             0.081240289                  -1.2282152e-12
             0.082833238                   -1.100202e-12
             0.084426187                  -9.3362102e-13
             0.086019136                  -7.2550662e-13
             0.087612078                  -4.7289749e-13
             0.089205027                  -1.7320932e-13
             0.090797976                   1.7557077e-13
             0.092390917                   5.7521479e-13
             0.093983866                   1.0277596e-12
             0.095576815                   1.5337746e-12
             0.097169764                   2.0946055e-12
             0.098762706                   2.7113401e-12
              0.10035565                   3.3844659e-12
               0.1019486                   4.1138798e-12
              0.10354155                   4.9002833e-12
              0.10513449                   5.7458738e-12
              0.10672744                   6.6512412e-12
              0.10832039                    7.618124e-12
              0.10991333                   8.6500893e-12
              0.11150628                   9.7518148e-12
              0.11309923                    1.092904e-11
              0.11469218                   1.2190569e-11
              0.11628512                   1.3548166e-11
              0.11787807                   1.5016417e-11
              0.11947102                   1.6614954e-11
              0.12106396                   1.8367185e-11
              0.12265691                    2.030171e-11
              0.12424986                   2.2453695e-11
              0.12584281                   2.4864761e-11
              0.12743576                   2.7584187e-11
              0.12902869                   3.0670345e-11
              0.13062164                   3.4189637e-11
              0.13221459                   3.8217714e-11
              0.13380754                   4.2839395e-11
              0.13540049                    4.814987e-11
              0.13699344                   5.4254368e-11
              0.13858639                   6.1269975e-11
              0.14017932                    6.932438e-11
              0.14177227                   7.8556064e-11
              0.14336522                   8.9113328e-11
              0.14495817                   1.0115424e-10
              0.14655112                    1.148449e-10
              0.14814407                   1.3035815e-10
              0.14973702                    1.478722e-10
              0.15132995                   1.6756846e-10
               0.1529229                   1.8962941e-10
              0.15451585                   2.1423564e-10
               0.1561088                   2.4156269e-10
              0.15770175                   2.7177721e-10
              0.15929469                   3.0503347e-10
              0.16088764                   3.4146902e-10
              0.16248058                   3.8119993e-10
              0.16407353                   4.2431553e-10
              0.16566648                   4.7087295e-10
              0.16725942                    5.208915e-10
              0.16885237                   5.7434701e-10
              0.17044532                    6.311664e-10
              0.17203827                   6.9121969e-10
              0.17363121                   7.5431483e-10
              0.17522416                    8.201918e-10
               0.1768171                   8.8851598e-10
              0.17841005                   9.5887254e-10
                0.180003                   1.0307627e-09
              0.18159595                   1.1035973e-09
               0.1831889                   1.1766924e-09
              0.18478183                   1.2492669e-09
              0.18637478                     1.32044e-09
              0.18796773                   1.3892301e-09
              0.18956068                   1.4545528e-09
              0.19115363                   1.5152245e-09
              0.19274658                   1.5699642e-09
              0.19433953                   1.6173978e-09
              0.19593246                   1.6560645e-09
              0.19752541                   1.6844229e-09
              0.19911836                   1.7008623e-09
              0.20071131                   1.7037117e-09
