Time / ns                o3,3/real
----------------------------------------------------------------------
                       0                  -1.0308002e-19
            0.0018706698                   1.2365432e-18
            0.0037413395                   1.7480295e-17
            0.0056120092                   7.7052496e-17
            0.0074826791                   2.1429846e-16
             0.009353349                   4.9262277e-16
             0.011224018                   1.0058008e-15
             0.013094689                   1.8301678e-15
             0.014965358                   3.0299309e-15
             0.016836029                     4.64946e-15
             0.018706698                   6.6333954e-15
             0.020577367                   8.7618943e-15
             0.022448037                   1.0681297e-14
             0.024318708                   1.2147906e-14
             0.026189378                    1.324261e-14
             0.028060047                   1.3579738e-14
             0.029930716                   1.2735452e-14
             0.031801388                   9.8863864e-15
             0.033672057                   3.4029968e-15
             0.035542727                  -8.1731632e-15
             0.037413396                  -2.6207664e-14
             0.039284065                  -5.1212107e-14
             0.041154735                  -8.3890624e-14
             0.043025404                   -1.256551e-13
             0.044896074                  -1.7744259e-13
             0.046766747                  -2.4001721e-13
             0.048637416                  -3.1438128e-13
             0.050508086                  -4.0191881e-13
             0.052378755                  -5.0363701e-13
             0.054249424                  -6.2062698e-13
             0.056120094                  -7.5352203e-13
             0.057990763                  -9.0207117e-13
             0.059861433                  -1.0657026e-12
             0.061732102                  -1.2428826e-12
             0.063602775                  -1.4312687e-12
             0.065473445                  -1.6276947e-12
             0.067344114                  -1.8280388e-12
             0.069214784                  -2.0272438e-12
             0.071085453                  -2.2193465e-12
             0.072956122                  -2.3976678e-12
             0.074826792                  -2.5546013e-12
             0.076697461                   -2.681881e-12
             0.078568131                  -2.7709668e-12
               0.0804388                  -2.8134029e-12
              0.08230947                  -2.8002234e-12
             0.084180139                  -2.7227855e-12
             0.086050808                  -2.5729091e-12
             0.087921478                  -2.3437383e-12
             0.089792147                  -2.0291002e-12
             0.091662817                  -1.6229534e-12
             0.093533494                  -1.1204072e-12
             0.095404163                  -5.1808454e-13
             0.097274832                   1.8807216e-13
             0.099145502                   9.9993343e-13
              0.10101617                    1.917726e-12
              0.10288684                   2.9400818e-12
              0.10475751                   4.0647507e-12
              0.10662818                   5.2895388e-12
              0.10849885                   6.6136658e-12
              0.11036952                   8.0367796e-12
              0.11224019                   9.5625929e-12
              0.11411086                   1.1197812e-11
              0.11598153                   1.2954162e-11
               0.1178522                   1.4849689e-11
              0.11972287                   1.6909521e-11
              0.12159353                   1.9167981e-11
               0.1234642                   2.1669673e-11
              0.12533487                   2.4472719e-11
              0.12720555                   2.7649844e-11
              0.12907621                   3.1291109e-11
              0.13094689                   3.5503385e-11
              0.13281755                    4.041208e-11
              0.13468823                   4.6161477e-11
              0.13655889                   5.2915634e-11
              0.13842957                   6.0859359e-11
              0.14030023                   7.0197514e-11
              0.14217091                   8.1155145e-11
              0.14404157                    9.397521e-11
              0.14591224                   1.0891755e-10
              0.14778291                   1.2625626e-10
              0.14965358                   1.4627649e-10
              0.15152426                   1.6926989e-10
              0.15339492                   1.9553002e-10
               0.1552656                   2.2534624e-10
              0.15713626                    2.589963e-10
              0.15900694                   2.9673847e-10
               0.1608776                   3.3880282e-10
              0.16274828                   3.8538031e-10
              0.16461894                   4.3661197e-10
              0.16648962                   4.9257665e-10
              0.16836028                   5.5327842e-10
              0.17023095                   6.1863387e-10
              0.17210162                   6.8845929e-10
              0.17397229                    7.624551e-10
              0.17584296                   8.4019397e-10
              0.17771363                   9.2110575e-10
              0.17958429                   1.0044664e-09
              0.18145497                   1.0893875e-09
              0.18332563                   1.1748059e-09
              0.18519631                   1.2594745e-09
              0.18706699                   1.3419594e-09
              0.18893765                   1.4206356e-09
              0.19080833                   1.4936852e-09
              0.19267899                   1.5591023e-09
              0.19454966                   1.6147023e-09
              0.19642033                   1.6581352e-09
                0.198291                   1.6869032e-09
              0.20016167                   1.6983789e-09
              0.20203234                   1.6898346e-09
                0.203903                   1.6584741e-09
              0.20577368                   1.6014685e-09
              0.20764434                    1.516003e-09
              0.20951502                   1.3993189e-09
              0.21138568                   1.2487709e-09
