Time / ns                o1,1/real
----------------------------------------------------------------------
                       0                  -5.1562097e-20
            0.0018706698                   4.1228817e-19
            0.0037413395                   7.5130664e-18
            0.0056120092                   3.4253844e-17
            0.0074826791                   9.3325812e-17
             0.009353349                   1.5730547e-16
             0.011224018                   2.5801267e-16
             0.013094689                   4.5950352e-16
             0.014965358                   6.6591512e-16
             0.016836029                   7.8137926e-16
             0.018706698                   8.0374903e-16
             0.020577367                   5.7480762e-16
             0.022448037                   3.3604179e-16
             0.024318708                  -6.6264115e-17
             0.026189378                  -1.0991095e-15
             0.028060047                   -3.376033e-15
             0.029930716                  -7.2249242e-15
             0.031801388                   -1.368307e-14
             0.033672057                  -2.3688394e-14
             0.035542727                  -3.7693251e-14
             0.037413396                  -5.5763008e-14
             0.039284065                  -7.8840831e-14
             0.041154735                  -1.0873104e-13
             0.043025404                  -1.4638185e-13
             0.044896074                  -1.9218538e-13
             0.046766747                  -2.4692176e-13
             0.048637416                  -3.1164277e-13
             0.050508086                  -3.8807672e-13
             0.052378755                  -4.7723094e-13
             0.054249424                  -5.7990348e-13
             0.056120094                  -6.9635725e-13
             0.057990763                  -8.2642557e-13
             0.059861433                  -9.6936229e-13
             0.061732102                  -1.1239666e-12
             0.063602775                  -1.2882284e-12
             0.065473445                  -1.4592337e-12
             0.067344114                  -1.6332085e-12
             0.069214784                  -1.8055088e-12
             0.071085453                  -1.9705843e-12
             0.072956122                  -2.1220079e-12
             0.074826792                  -2.2526987e-12
             0.076697461                  -2.3556029e-12
             0.078568131                  -2.4230288e-12
               0.0804388                  -2.4466212e-12
              0.08230947                  -2.4183485e-12
             0.084180139                  -2.3307387e-12
             0.086050808                  -2.1754187e-12
             0.087921478                   -1.945457e-12
             0.089792147                  -1.6348329e-12
             0.091662817                   -1.237988e-12
             0.093533494                  -7.5084155e-13
             0.095404163                  -1.7124813e-13
             0.097274832                   5.0174361e-13
             0.099145502                   1.2697101e-12
              0.10101617                   2.1336069e-12
              0.10288684                   3.0925351e-12
              0.10475751                   4.1454943e-12
              0.10662818                   5.2927146e-12
              0.10849885                   6.5350694e-12
              0.11036952                    7.873896e-12
              0.11224019                   9.3148137e-12
              0.11411086                   1.0864923e-11
              0.11598153                   1.2537561e-11
               0.1178522                   1.4352948e-11
              0.11972287                   1.6337216e-11
              0.12159353                   1.8525979e-11
               0.1234642                   2.0966036e-11
              0.12533487                   2.3716249e-11
              0.12720555                   2.6848829e-11
              0.12907621                   3.0450604e-11
              0.13094689                   3.4623211e-11
              0.13281755                   3.9487847e-11
              0.13468823                   4.5184769e-11
              0.13655889                   5.1874061e-11
              0.13842957                   5.9735501e-11
              0.14030023                   6.8969164e-11
              0.14217091                   7.9794227e-11
              0.14404157                   9.2449166e-11
              0.14591224                   1.0719021e-10
              0.14778291                   1.2428782e-10
              0.14965358                    1.440237e-10
              0.15152426                   1.6668705e-10
              0.15339492                   1.9256997e-10
               0.1552656                   2.2196121e-10
              0.15713626                   2.5513938e-10
              0.15900694                   2.9236455e-10
