Time / ns                i3/real
----------------------------------------------------------------------
                       0                  -1.0562644e-08
            0.0015544945                   3.2132448e-09
             0.003108989                    1.342054e-06
            0.0046634832                   1.3482002e-06
             0.006217978                   1.3503596e-06
            0.0077724722                   1.3484305e-06
            0.0093269665                   1.3423211e-06
             0.010881461                   1.3319503e-06
             0.012435956                   1.3172486e-06
             0.013990451                   1.2981577e-06
             0.015544944                   1.2746319e-06
              0.01709944                   1.2466377e-06
             0.018653933                   1.2141548e-06
             0.020208428                   1.1771763e-06
             0.021762922                   1.1357088e-06
             0.023317417                    1.089773e-06
             0.024871912                   1.0394041e-06
             0.026426407                   9.8465136e-07
             0.027980901                   9.2557906e-07
             0.029535394                   8.6226618e-07
             0.031089889                   7.9480674e-07
             0.032644384                   7.2330971e-07
              0.03419888                   6.4789901e-07
             0.035753373                   5.6871374e-07
             0.037307866                   4.8590778e-07
             0.038862363                   3.9964979e-07
             0.040416855                   3.1012317e-07
             0.041971352                    2.175257e-07
             0.043525845                    1.220692e-07
             0.045080341                   2.3979393e-08
             0.046634834                  -7.6504584e-08
             0.048189327                  -1.7913059e-07
             0.049743824                  -2.8363394e-07
             0.051298317                  -3.8973792e-07
             0.052852813                  -4.9715436e-07
             0.054407306                  -6.0558426e-07
             0.055961803                  -7.1471851e-07
             0.057516295                  -8.2423855e-07
             0.059070788                  -9.3381709e-07
             0.060625285                   -1.043119e-06
             0.062179778                  -1.1518022e-06
             0.063734271                  -1.2595184e-06
             0.065288767                   -1.365914e-06
             0.066843264                  -1.4706316e-06
              0.06839776                    -1.57331e-06
              0.06995225                  -1.6735863e-06
             0.071506746                  -1.7710964e-06
             0.073061243                   -1.865476e-06
             0.074615732                   -1.956362e-06
             0.076170228                  -2.0433936e-06
             0.077724725                  -2.1262135e-06
             0.079279222                   -2.204469e-06
             0.080833711                  -2.2778129e-06
             0.082388207                  -2.3459056e-06
             0.083942704                  -2.4084152e-06
             0.085497193                  -2.4650196e-06
              0.08705169                  -2.5154072e-06
             0.088606186                  -2.5592783e-06
             0.090160683                  -2.5963461e-06
             0.091715172                  -2.6263385e-06
             0.093269669                  -2.6489986e-06
             0.094824165                  -2.6640857e-06
             0.096378654                  -2.6713776e-06
             0.097933151                  -2.6706703e-06
             0.099487647                  -2.6617799e-06
              0.10104214                  -2.6445434e-06
              0.10259663                  -2.6188197e-06
              0.10415113                  -2.5844904e-06
              0.10570563                  -2.5414613e-06
              0.10726012                  -2.4896619e-06
              0.10881461                   -2.429048e-06
              0.11036911                   -2.359601e-06
              0.11192361                   -2.281329e-06
              0.11347809                  -2.1942674e-06
              0.11503259                  -2.0984799e-06
              0.11658709                   -1.994058e-06
              0.11814158                  -1.8811221e-06
              0.11969607                  -1.7598217e-06
              0.12125057                   -1.630335e-06
              0.12280507                    -1.49287e-06
              0.12435956                  -1.3476637e-06
              0.12591405                  -1.1949825e-06
              0.12746854                   -1.035122e-06
              0.12902305                  -8.6840652e-07
              0.13057753                  -6.9518893e-07
              0.13213202                  -5.1585027e-07
              0.13368653                   -3.307992e-07
              0.13524102                  -1.4047123e-07
              0.13679552                   5.4671851e-08
              0.13835001                   2.5414286e-07
               0.1399045                    4.574301e-07
                0.141459                   6.6399843e-07
              0.14301349                   8.7329045e-07
              0.14456798                   1.0847274e-06
              0.14612249                   1.2977107e-06
              0.14767697                   1.5116236e-06
              0.14923146                   1.7258321e-06
              0.15078597                   1.9396869e-06
              0.15234046                   2.1525248e-06
              0.15389495                   2.3636705e-06
              0.15544945                   2.5724389e-06
              0.15700394                   2.7781361e-06
              0.15855844                   2.9800622e-06
              0.16011293                   3.1775126e-06
              0.16166742                   3.3697802e-06
              0.16322193                   3.5561584e-06
              0.16477641                   3.7359418e-06
               0.1663309                   3.9084298e-06
              0.16788541                   4.0729278e-06
               0.1694399                   4.2287502e-06
              0.17099439                   4.3752225e-06
              0.17254889                   4.5116831e-06
              0.17410338                   4.6374871e-06
              0.17565787                   4.7520066e-06
              0.17721237                   4.8546344e-06
              0.17876686                   4.9447863e-06
              0.18032137                   5.0219032e-06
              0.18187585                   5.0854533e-06
              0.18343034                   5.1349339e-06
              0.18498485                   5.1698744e-06
              0.18653934                   5.1898382e-06
              0.18809383                   5.1944257e-06
              0.18964833                   5.1832735e-06
              0.19120282                   5.1560601e-06
              0.19275731                   5.1125048e-06
              0.19431181                   5.0523713e-06
               0.1958663                    4.975469e-06
              0.19742079                   4.8816546e-06
              0.19897529                   4.7708322e-06
              0.20052978                   4.6429568e-06
              0.20208429                   4.4980357e-06
              0.20363878                   4.3361269e-06
              0.20519327                   4.1573426e-06
              0.20674777                   3.9618494e-06
              0.20830226                   3.7498692e-06
              0.20985675                   3.5216785e-06
              0.21141125                   3.2776104e-06
              0.21296574                   3.0180543e-06
              0.21452023                   2.7434555e-06
              0.21607473                   2.4543156e-06
              0.21762922                   2.1511917e-06
              0.21918371                   1.8346969e-06
              0.22073822                   1.5054986e-06
              0.22229271                   1.1643182e-06
              0.22384721                   8.1193002e-07
               0.2254017                   4.4916004e-07
              0.22695619                    7.688454e-08
              0.22851069                  -3.0397146e-07
              0.23006518                  -6.9243595e-07
              0.23161967                  -1.0874919e-06
              0.23317418                  -1.4880794e-06
              0.23472866                   -1.893098e-06
              0.23628315                  -2.3014088e-06
              0.23783766                  -2.7118379e-06
              0.23939215                  -3.1231784e-06
              0.24094665                  -3.5341939e-06
              0.24250114                  -3.9436213e-06
              0.24405563                  -4.3501745e-06
              0.24561013                  -4.7525477e-06
              0.24716462                   -5.149418e-06
              0.24871911                  -5.5394516e-06
              0.25027362                  -5.9213044e-06
               0.2518281                  -6.2936288e-06
              0.25338259                  -6.6550751e-06
              0.25493708                  -7.0042988e-06
               0.2564916                  -7.3399615e-06
              0.25804609                  -7.6607366e-06
              0.25960058                  -7.9653164e-06
              0.26115507                  -8.2524102e-06
              0.26270956                  -8.5207539e-06
              0.26426405                  -8.7691142e-06
              0.26581857                  -8.9962896e-06
              0.26737306                  -9.2011178e-06
              0.26892754                  -9.3824801e-06
              0.27048203                  -9.5393034e-06
              0.27203652                   -9.670568e-06
              0.27359104                  -9.7753073e-06
              0.27514553                  -9.8526179e-06
              0.27670002                   -9.901657e-06
              0.27825451                  -9.9216531e-06
                0.279809                  -9.9119043e-06
              0.28136349                  -9.8717856e-06
              0.28291801                  -9.8007513e-06
               0.2844725                  -9.6983367e-06
              0.28602698                  -9.5641644e-06
              0.28758147                   -9.397947e-06
              0.28913596                  -9.1994852e-06
              0.29069045                  -8.9686782e-06
              0.29224497                  -8.7055196e-06
              0.29379946                   -8.410103e-06
              0.29535395                  -8.0826203e-06
              0.29690844                  -7.7233699e-06
              0.29846293                  -7.3327506e-06
              0.30001745                  -6.9112666e-06
              0.30157194                  -6.4595283e-06
              0.30312642                  -5.9782524e-06
              0.30468091                  -5.4682596e-06
               0.3062354                  -4.9304781e-06
              0.30778989                  -4.3659415e-06
              0.30934441                  -3.7757866e-06
               0.3108989                   -3.161254e-06
              0.31245339                  -2.5236859e-06
              0.31400788                  -1.8645239e-06
              0.31556237                  -1.1853077e-06
              0.31711689                  -4.8767106e-07
              0.31867138                   2.2666001e-07
              0.32022586                   9.5587109e-07
              0.32178035                   1.6980626e-06
              0.32333484                   2.4512544e-06
              0.32488933                   3.2133896e-06
              0.32644385                    3.982339e-06
              0.32799834                    4.755907e-06
              0.32955283                    5.531836e-06
              0.33110732                   6.3078123e-06
              0.33266181                   7.0814717e-06
              0.33421633                   7.8504063e-06
              0.33577082                   8.6121709e-06
               0.3373253                   9.3642884e-06
              0.33887979                   1.0104258e-05
              0.34043428                   1.0829564e-05
              0.34198877                   1.1537677e-05
              0.34354329                    1.222607e-05
              0.34509778                   1.2892218e-05
              0.34665227                   1.3533614e-05
              0.34820676                   1.4147769e-05
              0.34976125                   1.4732223e-05
              0.35131574                   1.5284559e-05
              0.35287026                   1.5802398e-05
              0.35442474                   1.6283424e-05
              0.35597923                   1.6725378e-05
              0.35753372                   1.7126076e-05
              0.35908821                   1.7483408e-05
              0.36064273                   1.7795353e-05
              0.36219722                   1.8059989e-05
              0.36375171                   1.8275494e-05
               0.3653062                   1.8440156e-05
              0.36686069                   1.8552384e-05
              0.36841518                   1.8610714e-05
               0.3699697                   1.8613811e-05
              0.37152418                   1.8560486e-05
              0.37307867                   1.8449691e-05
              0.37463316                   1.8280536e-05
              0.37618765                   1.8052286e-05
              0.37774217                   1.7764374e-05
              0.37929666                   1.7416402e-05
              0.38085115                   1.7008146e-05
              0.38240564                   1.6539563e-05
              0.38396013                   1.6010794e-05
              0.38551462                   1.5422162e-05
              0.38706914                   1.4774183e-05
              0.38862363                   1.4067567e-05
              0.39017811                   1.3303215e-05
               0.3917326                   1.2482225e-05
              0.39328709                   1.1605891e-05
              0.39484158                   1.0675701e-05
               0.3963961                   9.6933427e-06
              0.39795059                   8.6606969e-06
              0.39950508                   7.5798371e-06
              0.40105957                   6.4530295e-06
              0.40261406                   5.2827277e-06
              0.40416858                    4.071569e-06
              0.40572307                   2.8223733e-06
              0.40727755                   1.5381339e-06
              0.40883204                    2.220159e-07
              0.41038653                  -1.1226523e-06
              0.41194102                  -2.4923847e-06
              0.41349554                  -3.8835451e-06
              0.41505003                   -5.292356e-06
              0.41660452                  -6.7149053e-06
              0.41815901                  -8.1471571e-06
               0.4197135                  -9.5849618e-06
              0.42126802                  -1.1024064e-05
              0.42282251                  -1.2460117e-05
              0.42437699                  -1.3888688e-05
              0.42593148                  -1.5305279e-05
              0.42748597                  -1.6705329e-05
              0.42904046                  -1.8084236e-05
              0.43059498                  -1.9437366e-05
              0.43214947                  -2.0760061e-05
              0.43370396                  -2.2047663e-05
              0.43525845                  -2.3295523e-05
              0.43681294                  -2.4499013e-05
              0.43836743                  -2.5653548e-05
              0.43992195                  -2.6754593e-05
              0.44147643                   -2.779768e-05
              0.44303092                   -2.877843e-05
              0.44458541                  -2.9692555e-05
               0.4461399                  -3.0535888e-05
              0.44769442                  -3.1304386e-05
              0.44924891                  -3.1994146e-05
               0.4508034                  -3.2601438e-05
              0.45235789                  -3.3122691e-05
              0.45391238                  -3.3554526e-05
              0.45546687                  -3.3893772e-05
              0.45702139                  -3.4137469e-05
              0.45857587                  -3.4282883e-05
              0.46013036                  -3.4327528e-05
              0.46168485                  -3.4269171e-05
              0.46323934                  -3.4105855e-05
              0.46479386                  -3.3835888e-05
              0.46634835                  -3.3457876e-05
              0.46790284                  -3.2970725e-05
              0.46945733                  -3.2373653e-05
              0.47101182                  -3.1666186e-05
              0.47256631                   -3.084819e-05
              0.47412083                  -2.9919858e-05
              0.47567531                  -2.8881725e-05
               0.4772298                  -2.7734664e-05
              0.47878429                  -2.6479913e-05
              0.48033878                  -2.5119049e-05
               0.4818933                  -2.3654011e-05
              0.48344779                  -2.2087097e-05
              0.48500228                  -2.0420959e-05
              0.48655677                  -1.8658608e-05
              0.48811126                  -1.6803408e-05
              0.48966575                  -1.4859076e-05
              0.49122027                  -1.2829678e-05
              0.49277475                  -1.0719619e-05
              0.49432924                   -8.533646e-06
              0.49588373                  -6.2768286e-06
              0.49743822                  -3.9545589e-06
              0.49899271                  -1.5725398e-06
              0.50054723                   8.6322922e-07
              0.50210172                   3.3464605e-06
              0.50365621                   5.8705937e-06
               0.5052107                   8.4288104e-06
              0.50676519                   1.1014046e-05
              0.50831968                   1.3619014e-05
              0.50987417                   1.6236214e-05
              0.51142865                   1.8857958e-05
               0.5129832                   2.1476386e-05
              0.51453769                   2.4083489e-05
              0.51609218                   2.6671129e-05
              0.51764667                   2.9231058e-05
              0.51920116                   3.1754946e-05
              0.52075565                    3.423441e-05
              0.52231014                   3.6661015e-05
              0.52386463                   3.9026334e-05
              0.52541912                   4.1321942e-05
              0.52697361                   4.3539461e-05
              0.52852809                   4.5670578e-05
              0.53008264                   4.7707072e-05
              0.53163713                   4.9640847e-05
              0.53319162                   5.1463958e-05
              0.53474611                    5.316862e-05
               0.5363006                   5.4747274e-05
              0.53785509                    5.619257e-05
              0.53940958                   5.7497426e-05
              0.54096407                   5.8655041e-05
              0.54251856                   5.9658927e-05
              0.54407305                   6.0502927e-05
              0.54562753                    6.118125e-05
              0.54718208                   6.1688479e-05
              0.54873657                   6.2019637e-05
              0.55029106                   6.2170155e-05
              0.55184555                   6.2135929e-05
              0.55340004                   6.1913335e-05
              0.55495453                   6.1499253e-05
              0.55650902                   6.0891074e-05
              0.55806351                   6.0086728e-05
                0.559618                   5.9084705e-05
              0.56117249                   5.7884063e-05
              0.56272697                   5.6484441e-05
              0.56428152                   5.4886081e-05
              0.56583601                   5.3089832e-05
               0.5673905                   5.1097155e-05
              0.56894499                   4.8910151e-05
              0.57049948                   4.6531539e-05
              0.57205397                   4.3964686e-05
              0.57360846                   4.1213589e-05
              0.57516295                   3.8282888e-05
              0.57671744                   3.5177869e-05
              0.57827193                   3.1904441e-05
              0.57982641                   2.8469152e-05
               0.5813809                   2.4879168e-05
              0.58293545                   2.1142265e-05
              0.58448994                   1.7266828e-05
              0.58604443                   1.3261823e-05
              0.58759892                   9.1367929e-06
              0.58915341                   4.9018327e-06
               0.5907079                    5.675717e-07
              0.59226239                  -3.8548465e-06
              0.59381688                  -8.3537898e-06
              0.59537137                  -1.2917162e-05
              0.59692585                  -1.7532433e-05
              0.59848034                  -2.2186663e-05
              0.60003489                  -2.6866543e-05
              0.60158938                  -3.1558415e-05
              0.60314387                  -3.6248315e-05
              0.60469836                  -4.0922019e-05
              0.60625285                  -4.5565059e-05
              0.60780734                  -5.0162776e-05
              0.60936183                  -5.4700362e-05
              0.61091632                    -5.91629e-05
              0.61247081                  -6.3535401e-05
              0.61402529                  -6.7802852e-05
              0.61557978                  -7.1950271e-05
              0.61713433                  -7.5962744e-05
              0.61868882                  -7.9825462e-05
              0.62024331                  -8.3523795e-05
               0.6217978                  -8.7043307e-05
              0.62335229                  -9.0369831e-05
              0.62490678                    -9.34895e-05
              0.62646127                  -9.6388823e-05
              0.62801576                  -9.9054676e-05
              0.62957025                  -0.00010147442
              0.63112473                   -0.0001036359
              0.63267922                  -0.00010552749
              0.63423377                  -0.00010713819
              0.63578826                  -0.00010845762
              0.63734275                  -0.00010947607
              0.63889724                  -0.00011018456
              0.64045173                  -0.00011057488
              0.64200622                  -0.00011063962
              0.64356071                  -0.00011037222
               0.6451152                  -0.00010976699
              0.64666969                  -0.00010881915
              0.64822417                  -0.00010752487
              0.64977866                  -0.00010588131
              0.65133321                  -0.00010388662
               0.6528877                  -0.00010153998
              0.65444219                  -9.8841621e-05
              0.65599668                  -9.5792835e-05
              0.65755117                  -9.2396032e-05
              0.65910566                  -8.8654691e-05
              0.66066015                  -8.4573425e-05
              0.66221464                  -8.0157952e-05
              0.66376913                  -7.5415119e-05
              0.66532362                  -7.0352915e-05
               0.6668781                  -6.4980421e-05
              0.66843265                  -5.9307862e-05
              0.66998714                  -5.3346554e-05
              0.67154163                  -4.7108915e-05
              0.67309612                  -4.0608433e-05
              0.67465061                  -3.3859662e-05
               0.6762051                  -2.6878186e-05
              0.67775959                  -1.9680594e-05
              0.67931408                   -1.228445e-05
              0.68086857                  -4.7082626e-06
              0.68242306                   3.0285628e-06
              0.68397754                   1.0905757e-05
              0.68553203                   1.8902236e-05
              0.68708658                   2.6996149e-05
              0.68864107                   3.5164929e-05
              0.69019556                   4.3385349e-05
              0.69175005                   5.1633582e-05
              0.69330454                   5.9885249e-05
              0.69485903                   6.8115507e-05
              0.69641352                   7.6299097e-05
              0.69796801                     8.44104e-05
               0.6995225                   9.2423557e-05
              0.70107698                   0.00010031249
              0.70263147                   0.00010805098
              0.70418602                   0.00011561282
              0.70574051                   0.00012297177
                0.707295                   0.00013010176
              0.70884949                   0.00013697687
              0.71040398                   0.00014357149
              0.71195847                   0.00014986035
              0.71351296                   0.00015581863
              0.71506745                   0.00016142205
              0.71662194                   0.00016664693
              0.71817642                   0.00017147027
              0.71973091                   0.00017586988
              0.72128546                   0.00017982442
              0.72283995                   0.00018331347
              0.72439444                   0.00018631767
              0.72594893                   0.00018881873
              0.72750342                   0.00019079955
              0.72905791                   0.00019224426
               0.7306124                   0.00019313834
              0.73216689                   0.00019346866
              0.73372138                   0.00019322352
              0.73527586                   0.00019239276
              0.73683035                   0.00019096781
               0.7383849                    0.0001889417
              0.73993939                    0.0001863092
              0.74149388                   0.00018306678
              0.74304837                   0.00017921267
              0.74460286                   0.00017474698
              0.74615735                   0.00016967161
              0.74771184                   0.00016399038
              0.74926633                     0.000157709
              0.75082082                    0.0001508351
               0.7523753                   0.00014337825
              0.75392979                   0.00013534995
              0.75548434                    0.0001267637
              0.75703883                   0.00011763485
              0.75859332                   0.00010798076
              0.76014781                   9.7820666e-05
               0.7617023                   8.7175693e-05
              0.76325679                   7.6068842e-05
              0.76481128                   6.4524931e-05
              0.76636577                   5.2570576e-05
              0.76792026                   4.0234121e-05
              0.76947474                   2.7545597e-05
              0.77102923                   1.4536662e-05
              0.77258372                   1.2405361e-06
              0.77413827                  -1.2308077e-05
              0.77569276                  -2.6073061e-05
              0.77724725                  -4.0016974e-05
              0.77880174                  -5.4101132e-05
              0.78035623                  -6.8285713e-05
              0.78191072                  -8.2529841e-05
              0.78346521                  -9.6791715e-05
               0.7850197                  -0.00011102869
              0.78657418                   -0.0001251974
              0.78812867                  -0.00013925391
              0.78968316                  -0.00015315379
              0.79123771                  -0.00016685223
               0.7927922                  -0.00018030425
              0.79434669                  -0.00019346476
              0.79590118                  -0.00020628869
              0.79745567                  -0.00021873122
              0.79901016                  -0.00023074778
              0.80056465                  -0.00024229432
              0.80211914                  -0.00025332737
              0.80367362                  -0.00026380416
              0.80522811                  -0.00027368293
               0.8067826                  -0.00028292291
              0.80833715                  -0.00029148441
              0.80989164                  -0.00029932917
              0.81144613                  -0.00030642041
              0.81300062                  -0.00031272281
              0.81455511                  -0.00031820298
               0.8161096                   -0.0003228292
              0.81766409                  -0.00032657187
              0.81921858                  -0.00032940353
              0.82077307                  -0.00033129886
              0.82232755                  -0.00033223501
              0.82388204                  -0.00033219156
              0.82543659                  -0.00033115066
              0.82699108                  -0.00032909721
              0.82854557                  -0.00032601878
              0.83010006                  -0.00032190594
              0.83165455                  -0.00031675209
              0.83320904                  -0.00031055376
              0.83476353                  -0.00030331052
              0.83631802                  -0.00029502503
              0.83787251                  -0.00028570325
              0.83942699                  -0.00027535434
              0.84098148                  -0.00026399066
              0.84253603                  -0.00025162796
              0.84409052                  -0.00023828523
              0.84564501                  -0.00022398478
               0.8471995                  -0.00020875223
              0.84875399                  -0.00019261644
              0.85030848                  -0.00017560956
              0.85186297                  -0.00015776693
              0.85341746                  -0.00013912706
              0.85497195                  -0.00011973156
              0.85652643                  -9.9625075e-05
              0.85808092                  -7.8855199e-05
              0.85963547                  -5.7472396e-05
              0.86118996                  -3.5529887e-05
              0.86274445                   -1.308354e-05
              0.86429894                   9.8082464e-06
              0.86585343                   3.3084674e-05
              0.86740792                   5.6682697e-05
              0.86896241                   8.0537146e-05
               0.8705169                   0.00010458093
              0.87207139                   0.00012874516
              0.87362587                   0.00015295934
              0.87518036                   0.00017715158
              0.87673485                   0.00020124875
               0.8782894                    0.0002251767
              0.87984389                   0.00024886045
              0.88139838                   0.00027222442
              0.88295287                   0.00029519264
              0.88450736                     0.000317689
              0.88606185                   0.00033963736
              0.88761634                   0.00036096197
              0.88917083                    0.0003815876
              0.89072531                    0.0004014397
               0.8922798                   0.00042044479
              0.89383429                   0.00043853064
              0.89538884                   0.00045562646
              0.89694333                   0.00047166322
              0.89849782                   0.00048657382
              0.90005231                   0.00050029339
               0.9016068                   0.00051275949
              0.90316129                   0.00052391231
              0.90471578                   0.00053369504
              0.90627027                   0.00054205384
              0.90782475                   0.00054893829
              0.90937924                   0.00055430154
              0.91093373                   0.00055810052
              0.91248828                     0.000560296
              0.91404277                   0.00056085293
              0.91559726                   0.00055974064
              0.91715175                   0.00055693288
              0.91870624                   0.00055240811
              0.92026073                    0.0005461495
              0.92181522                   0.00053814519
              0.92336971                   0.00052838837
              0.92492419                   0.00051687745
              0.92647868                   0.00050361594
              0.92803317                   0.00048861286
              0.92958772                   0.00047188255
              0.93114221                   0.00045344481
               0.9326967                   0.00043332489
              0.93425119                   0.00041155366
              0.93580568                   0.00038816739
              0.93736017                   0.00036320798
              0.93891466                   0.00033672265
              0.94046915                   0.00030876417
              0.94202363                   0.00027939063
              0.94357812                   0.00024866537
              0.94513261                   0.00021665692
              0.94668716                   0.00018343891
              0.94824165                   0.00014908987
              0.94979614                   0.00011369312
              0.95135063                   7.7336568e-05
              0.95290512                   4.0112565e-05
              0.95445961                   2.1176779e-06
               0.9560141                  -3.6547521e-05
              0.95756859                  -7.5778691e-05
              0.95912308                  -0.00011546798
              0.96067756                  -0.00015550425
              0.96223205                  -0.00019577343
               0.9637866                  -0.00023615874
              0.96534109                  -0.00027654102
              0.96689558                  -0.00031679909
              0.96845007                  -0.00035680996
              0.97000456                  -0.00039644935
              0.97155905                  -0.00043559185
              0.97311354                   -0.0004741115
              0.97466803                   -0.0005118819
              0.97622252                  -0.00054877676
                0.977777                  -0.00058467034
              0.97933149                  -0.00061943766
              0.98088598                  -0.00065295491
              0.98244053                  -0.00068509998
              0.98399502                  -0.00071575283
              0.98554951                  -0.00074479578
                0.987104                  -0.00077211397
              0.98865849                  -0.00079759571
              0.99021298                  -0.00082113309
              0.99176747                   -0.0008426219
              0.99332196                  -0.00086196268
              0.99487644                  -0.00087906036
              0.99643093                   -0.0008938252
              0.99798542                  -0.00090617285
              0.99953997                   -0.0009160249
