Time / ns                i2/real
----------------------------------------------------------------------
                       0                  -1.0052531e-08
            0.0022061099                   1.3366977e-06
            0.0044122199                    1.347474e-06
            0.0066183303                   1.3502575e-06
            0.0088244397                   1.3447585e-06
              0.01103055                   1.3307291e-06
             0.013236661                   1.3079664e-06
              0.01544277                   1.2763152e-06
             0.017648879                   1.2356701e-06
             0.019854991                   1.1859786e-06
               0.0220611                    1.127243e-06
              0.02426721                   1.0595217e-06
             0.026473321                    9.829314e-07
              0.02867943                   8.9764802e-07
              0.03088554                   8.0390777e-07
             0.033091649                   7.0200736e-07
             0.035297759                   5.9230467e-07
             0.037503872                    4.752182e-07
             0.039709982                   3.5122656e-07
             0.041916091                    2.208677e-07
               0.0441222                   8.4737287e-08
              0.04632831                  -5.6512935e-08
             0.048534419                  -2.0217739e-07
             0.050740533                  -3.5149924e-07
             0.052946642                  -5.0367345e-07
             0.055152752                  -6.5785014e-07
             0.057358861                  -8.1313851e-07
              0.05956497                  -9.6861083e-07
              0.06177108                  -1.1233074e-06
             0.063977189                  -1.2762407e-06
             0.066183299                  -1.4264018e-06
             0.068389408                  -1.5727649e-06
             0.070595518                  -1.7142936e-06
             0.072801635                  -1.8499472e-06
             0.075007744                  -1.9786869e-06
             0.077213854                  -2.0994819e-06
             0.079419963                  -2.2113168e-06
             0.081626073                  -2.3131984e-06
             0.083832182                  -2.4041622e-06
             0.086038291                  -2.4832796e-06
             0.088244401                  -2.5496652e-06
              0.09045051                  -2.6024827e-06
              0.09265662                  -2.6409534e-06
             0.094862729                  -2.6643618e-06
             0.097068839                  -2.6720622e-06
             0.099274948                  -2.6634857e-06
              0.10148107                  -2.6381456e-06
              0.10368717                  -2.5956435e-06
              0.10589328                  -2.5356746e-06
              0.10809939                  -2.4580331e-06
               0.1103055                  -2.3626158e-06
              0.11251161                  -2.2494273e-06
              0.11471772                  -2.1185826e-06
              0.11692383                  -1.9703107e-06
              0.11912994                  -1.8049559e-06
              0.12133605                  -1.6229809e-06
              0.12354216                  -1.4249665e-06
              0.12574828                  -1.2116127e-06
              0.12795438                  -9.8373778e-07
               0.1301605                  -7.4227728e-07
               0.1323666                  -4.8828178e-07
              0.13457271                  -2.2291449e-07
              0.13677882                   5.2552629e-08
              0.13898493                   3.3674314e-07
              0.14119104                   6.2818134e-07
              0.14339715                   9.2529808e-07
              0.14560327                   1.2264377e-06
              0.14780937                   1.5298655e-06
              0.15001549                   1.8337757e-06
              0.15222159                    2.136301e-06
              0.15442771                   2.4355213e-06
              0.15663381                    2.729475e-06
              0.15883993                   3.0161689e-06
              0.16104603                   3.2935905e-06
              0.16325215                   3.5597191e-06
              0.16545825                   3.8125386e-06
              0.16766436                   4.0500504e-06
              0.16987047                   4.2702859e-06
              0.17207658                   4.4713197e-06
               0.1742827                   4.6512841e-06
               0.1764888                   4.8083812e-06
              0.17869492                   4.9408973e-06
              0.18090102                   5.0472145e-06
              0.18310714                   5.1258276e-06
              0.18531324                   5.1753536e-06
              0.18751936                   5.1945453e-06
              0.18972546                   5.1823044e-06
              0.19193158                   5.1376915e-06
              0.19413768                   5.0599383e-06
              0.19634379                   4.9484574e-06
               0.1985499                   4.8028523e-06
