Time / ns                i3/real
----------------------------------------------------------------------
                       0                  -1.5482783e-08
            0.0012146332                  -4.4024091e-09
            0.0024292665                   4.4024091e-09
            0.0036438997                   1.3446121e-06
            0.0048585329                   1.3486921e-06
            0.0060731662                   1.3503296e-06
            0.0072877994                   1.3494764e-06
            0.0085024321                   1.3460874e-06
            0.0097170658                   1.3401219e-06
             0.010931699                   1.3315432e-06
             0.012146332                   1.3203188e-06
             0.013360965                   1.3064205e-06
             0.014575599                   1.2898247e-06
             0.015790232                   1.2705123e-06
             0.017004864                   1.2484689e-06
             0.018219499                   1.2236854e-06
             0.019434132                   1.1961572e-06
             0.020648764                   1.1658849e-06
             0.021863397                   1.1328744e-06
             0.023078032                   1.0971368e-06
             0.024292665                   1.0586883e-06
             0.025507297                   1.0175507e-06
              0.02672193                   9.7375141e-07
             0.027936565                   9.2732301e-07
             0.029151198                   8.7830381e-07
              0.03036583                   8.2673762e-07
             0.031580463                    7.726739e-07
             0.032795098                   7.1616762e-07
             0.034009729                   6.5727949e-07
             0.035224363                   5.9607572e-07
             0.036438998                   5.3262806e-07
             0.037653629                    4.670139e-07
             0.038868263                   3.9931601e-07
             0.040082894                   3.2962262e-07
             0.041297529                    2.580274e-07
             0.042512164                   1.8462927e-07
             0.043726794                   1.0953233e-07
             0.044941429                   3.2845808e-08
             0.046156064                  -4.5316078e-08
             0.047370695                  -1.2483424e-07
             0.048585329                   -2.055849e-07
              0.04979996                   -2.874396e-07
             0.051014595                  -3.7026552e-07
             0.052229229                  -4.5392562e-07
              0.05344386                  -5.3827864e-07
             0.054658495                  -6.2317963e-07
              0.05587313                  -7.0847972e-07
              0.05708776                  -7.9402679e-07
             0.058302395                  -8.7966532e-07
             0.059517026                  -9.6523684e-07
             0.060731661                  -1.0505801e-06
             0.061946295                  -1.1355311e-06
             0.063160926                  -1.2199241e-06
             0.064375557                  -1.3035909e-06
             0.065590195                  -1.3863618e-06
             0.066804826                  -1.4680654e-06
             0.068019457                  -1.5485298e-06
             0.069234096                  -1.6275816e-06
             0.070448726                  -1.7050472e-06
             0.071663357                  -1.7807529e-06
             0.072877996                   -1.854525e-06
             0.074092627                    -1.92619e-06
             0.075307257                  -1.9955758e-06
             0.076521896                  -2.0625107e-06
             0.077736527                  -2.1268252e-06
             0.078951158                  -2.1883513e-06
             0.080165789                  -2.2469228e-06
             0.081380427                   -2.302377e-06
             0.082595058                  -2.3545526e-06
             0.083809689                  -2.4032931e-06
             0.085024327                  -2.4484445e-06
             0.086238958                  -2.4898575e-06
             0.087453589                   -2.527386e-06
             0.088668227                  -2.5608899e-06
             0.089882858                   -2.590233e-06
             0.091097489                   -2.615285e-06
             0.092312127                   -2.635921e-06
             0.093526758                  -2.6520224e-06
             0.094741389                  -2.6634771e-06
             0.095956028                  -2.6701787e-06
             0.097170658                  -2.6720288e-06
             0.098385289                  -2.6689361e-06
              0.09959992                  -2.6608163e-06
              0.10081456                  -2.6475941e-06
              0.10202919                  -2.6292014e-06
              0.10324382                  -2.6055789e-06
              0.10445846                   -2.576676e-06
              0.10567309                  -2.5424515e-06
              0.10688772                  -2.5028726e-06
              0.10810236                  -2.4579167e-06
              0.10931699                  -2.4075705e-06
              0.11053162                  -2.3518307e-06
              0.11174626                  -2.2907038e-06
              0.11296089                  -2.2242066e-06
              0.11417552                  -2.1523667e-06
              0.11539015                  -2.0752216e-06
              0.11660479                  -1.9928195e-06
              0.11781942                  -1.9052198e-06
              0.11903405                  -1.8124922e-06
              0.12024869                  -1.7147175e-06
              0.12146332                  -1.6119874e-06
              0.12267795                  -1.5044043e-06
              0.12389259                  -1.3920818e-06
              0.12510721                  -1.2751443e-06
              0.12632185                  -1.1537271e-06
              0.12753649                  -1.0279763e-06
              0.12875111                  -8.9804882e-07
              0.12996575                  -7.6411209e-07
              0.13118039                  -6.2634405e-07
              0.13239501                  -4.8493314e-07
              0.13360965                  -3.4007783e-07
              0.13482429                  -1.9198679e-07
              0.13603891                  -4.0878291e-08
              0.13725355                   1.1301973e-07
              0.13846819                   2.6947006e-07
              0.13968281                   4.2822649e-07
              0.14089745                   5.8903402e-07
              0.14211209                   7.5162933e-07
              0.14332671                     9.15741e-07
              0.14454135                     1.08109e-06
              0.14575599                   1.2473898e-06
              0.14697061                   1.4143474e-06
              0.14818525                   1.5816628e-06
              0.14939989                   1.7490303e-06
              0.15061451                   1.9161384e-06
              0.15182915                   2.0826712e-06
              0.15304379                   2.2483075e-06
              0.15425842                   2.4127223e-06
              0.15547305                   2.5755871e-06
              0.15668769                   2.7365704e-06
              0.15790232                   2.8953386e-06
              0.15911695                   3.0515562e-06
              0.16033158                   3.2048863e-06
              0.16154622                   3.3549913e-06
              0.16276085                   3.5015341e-06
              0.16397548                   3.6441782e-06
              0.16519012                   3.7825878e-06
              0.16640475                   3.9164302e-06
              0.16761938                   4.0453738e-06
              0.16883402                   4.1690919e-06
              0.17004865                   4.2872607e-06
              0.17126328                   4.3995615e-06
              0.17247792                   4.5056804e-06
              0.17369255                   4.6053106e-06
              0.17490718                   4.6981509e-06
              0.17612182                   4.7839076e-06
              0.17733645                    4.862296e-06
              0.17855108                   4.9330388e-06
              0.17976572                   4.9958694e-06
              0.18098035                     5.05053e-06
              0.18219498                   5.0967747e-06
              0.18340962                   5.1343686e-06
              0.18462425                   5.1630877e-06
              0.18583888                   5.1827228e-06
              0.18705352                    5.193076e-06
              0.18826815                   5.1939651e-06
              0.18948278                   5.1852198e-06
              0.19069742                    5.166688e-06
              0.19191206                   5.1382303e-06
              0.19312668                    5.099726e-06
              0.19434132                   5.0510685e-06
              0.19555594                     4.99217e-06
              0.19677058                   4.9229602e-06
              0.19798522                   4.8433863e-06
