Time / ns                o3,3/real
----------------------------------------------------------------------
                       0                   2.9335805e-19
            0.0012146332                   2.9335805e-19
            0.0024292665                  -2.9335805e-19
            0.0036438997                  -1.1699636e-18
            0.0048585329                  -6.4400271e-18
            0.0060731662                  -2.1059492e-17
            0.0072877994                  -4.4941983e-17
            0.0085024321                  -6.8559052e-17
            0.0097170658                  -9.1771599e-17
             0.010931699                  -1.5199321e-16
             0.012146332                  -2.1131963e-16
             0.013360965                  -3.0695262e-16
             0.014575599                  -4.3833092e-16
             0.015790232                  -5.6713419e-16
             0.017004864                  -7.6770969e-16
             0.018219499                  -1.0388846e-15
             0.019434132                  -1.4541736e-15
             0.020648764                  -2.0111463e-15
             0.021863397                  -2.7065447e-15
             0.023078032                  -3.6865051e-15
             0.024292665                  -4.9452998e-15
             0.025507297                   -6.475577e-15
              0.02672193                  -8.4186122e-15
             0.027936565                  -1.0913283e-14
             0.029151198                  -1.3945063e-14
              0.03036583                  -1.7646519e-14
             0.031580463                   -2.199615e-14
             0.032795098                   -2.696874e-14
             0.034009729                  -3.2685727e-14
             0.035224363                  -3.9114128e-14
             0.036438998                  -4.6216957e-14
             0.037653629                  -5.4103687e-14
             0.038868263                   -6.287945e-14
             0.040082894                  -7.2794648e-14
             0.041297529                  -8.3792944e-14
             0.042512164                  -9.6112436e-14
             0.043726794                  -1.0968351e-13
             0.044941429                  -1.2473013e-13
             0.046156064                  -1.4146816e-13
             0.047370695                  -1.6010422e-13
             0.048585329                  -1.8083447e-13
              0.04979996                  -2.0354325e-13
             0.051014595                  -2.2825437e-13
             0.052229229                  -2.5513115e-13
              0.05344386                  -2.8417514e-13
             0.054658495                  -3.1537647e-13
              0.05587313                    -3.48714e-13
              0.05708776                  -3.8415565e-13
             0.058302395                  -4.2165869e-13
             0.059517026                  -4.6117016e-13
             0.060731661                  -5.0247707e-13
             0.061946295                  -5.4535825e-13
             0.063160926                  -5.8958551e-13
             0.064375557                  -6.3492533e-13
             0.065590195                   -6.809902e-13
             0.066804826                  -7.2727853e-13
             0.068019457                  -7.7325294e-13
             0.069234096                  -8.1829644e-13
             0.070448726                   -8.616507e-13
             0.071663357                  -9.0244863e-13
             0.072877996                   -9.396726e-13
             0.074092627                  -9.7214185e-13
             0.075307257                   -9.985193e-13
             0.076521896                  -1.0172817e-12
             0.077736527                  -1.0265788e-12
             0.078951158                  -1.0244687e-12
             0.080165789                   -1.008479e-12
             0.081380427                  -9.7607133e-13
             0.082595058                   -9.245057e-13
             0.083809689                  -8.5025563e-13
             0.085024327                  -7.4962855e-13
             0.086238958                  -6.1818627e-13
             0.087453589                  -4.5137079e-13
             0.088668227                   -2.436289e-13
             0.089882858                   1.0955782e-14
             0.091097489                   3.1892994e-13
             0.092312127                   6.8743394e-13
             0.093526758                   1.1247627e-12
             0.094741389                   1.6397187e-12
              0.09595602                    2.242464e-12
             0.097170658                   2.9432626e-12
             0.098385289                   3.7542257e-12
              0.09959992                    4.688644e-12
              0.10081456                   5.7615154e-12
              0.10202919                   6.9882598e-12
              0.10324382                   8.3864382e-12
              0.10445846                   9.9744536e-12
              0.10567309                   1.1773253e-11
              0.10688772                   1.3804412e-11
              0.10810236                   1.6091817e-11
              0.10931699                   1.8661536e-11
              0.11053162                    2.154168e-11
              0.11174626                   2.4762248e-11
              0.11296089                   2.8354968e-11
              0.11417552                   3.2354324e-11
              0.11539015                   3.6796774e-11
              0.11660479                   4.1721154e-11
              0.11781942                   4.7168474e-11
              0.11903405                   5.3182295e-11
              0.12024869                   5.9807902e-11
              0.12146332                   6.7092672e-11
              0.12267795                    7.508582e-11
              0.12389259                   8.3839338e-11
              0.12510721                   9.3406539e-11
              0.12632185                   1.0384178e-10
              0.12753649                   1.1520136e-10
              0.12875111                   1.2754268e-10
              0.12996575                   1.4092333e-10
              0.13118039                     1.55402e-10
              0.13239501                   1.7103757e-10
              0.13360965                   1.8788829e-10
              0.13482429                   2.0601203e-10
              0.13603891                   2.2546516e-10
              0.13725355                   2.4630195e-10
              0.13846819                   2.6857438e-10
              0.13968281                   2.9233124e-10
              0.14089745                    3.176174e-10
              0.14211209                   3.4447267e-10
              0.14332671                   3.7293202e-10
              0.14454135                   4.0302361e-10
              0.14575599                   4.3476817e-10
              0.14697061                   4.6817861e-10
              0.14818525                   5.0325855e-10
              0.14939989                   5.4000149e-10
              0.15061451                   5.7838961e-10
              0.15182915                   6.1839323e-10
              0.15304379                   6.5996936e-10
              0.15425842                   7.0306072e-10
              0.15547305                   7.4759482e-10
              0.15668768                   7.9348278e-10
              0.15790232                   8.4061846e-10
              0.15911695                   8.8887736e-10
              0.16033158                   9.3811581e-10
              0.16154622                   9.8816977e-10
              0.16276085                   1.0388543e-09
              0.16397548                   1.0899629e-09
              0.16519012                   1.1412662e-09
              0.16640475                    1.192512e-09
              0.16761938                    1.243425e-09
              0.16883402                   1.2937057e-09
              0.17004865                   1.3430306e-09
              0.17126328                   1.3910519e-09
              0.17247792                   1.4373975e-09
              0.17369255                   1.4816719e-09
              0.17490718                   1.5234554e-09
              0.17612182                   1.5623057e-09
              0.17733645                   1.5977588e-09
              0.17855108                   1.6293279e-09
              0.17976572                   1.6565068e-09
              0.18098035                   1.6787703e-09
              0.18219498                   1.6955761e-09
              0.18340962                   1.7063664e-09
              0.18462425                   1.7105696e-09
              0.18583888                   1.7076027e-09
              0.18705352                   1.6968743e-09
              0.18826815                   1.6777865e-09
              0.18948278                   1.6497392e-09
              0.19069742                   1.6121315e-09
              0.19191204                   1.5643651e-09
              0.19312668                   1.5058497e-09
              0.19434132                   1.4360035e-09
              0.19555594                   1.3542609e-09
              0.19677058                   1.2600743e-09
              0.19798522                   1.1529193e-09
              0.19919984                   1.0322984e-09
              0.20041448                   8.9774571e-10
              0.20162912                   7.4883322e-10
              0.20284374                   5.8517274e-10
              0.20405838                   4.0642234e-10
              0.20527302                   2.1229193e-10
              0.20648764                   2.5461577e-12
              0.20770228                  -2.2298932e-10
              0.20891692                  -4.6442328e-10
              0.21013154                   -7.217934e-10
              0.21134618                  -9.9506137e-10
              0.21256082                  -1.2841096e-09
              0.21377544                  -1.5887347e-09
              0.21499008                  -1.9086448e-09
              0.21620472                   -2.243455e-09
              0.21741934                  -2.5926825e-09
              0.21863398                  -2.9557443e-09
              0.21984862                  -3.3319529e-09
              0.22106324                  -3.7205143e-09
              0.22227788                  -4.1205244e-09
              0.22349252                  -4.5309672e-09
              0.22470714                  -4.9507127e-09
