Time / ns                o1,1/real
----------------------------------------------------------------------
                       0                               0
            0.0021370337                               0
            0.0042740675                  -3.6338106e-18
            0.0064111017                  -2.5353609e-17
            0.0085481349                  -6.8379792e-17
             0.010685169                  -1.5369746e-16
             0.012822203                  -2.5074973e-16
             0.014959237                  -3.4324398e-16
              0.01709627                  -4.2952239e-16
             0.019233305                  -5.0806254e-16
             0.021370338                  -5.7751013e-16
             0.023507372                   -5.204253e-16
             0.025644407                  -3.3799651e-16
              0.02778144                  -2.6629408e-16
             0.029918473                  -7.7140699e-16
             0.032055508                  -2.3088841e-15
              0.03419254                  -5.3154384e-15
             0.036329575                  -1.0433093e-14
              0.03846661                  -1.8266147e-14
             0.040603641                  -3.0182298e-14
             0.042740677                  -4.6431358e-14
             0.044877712                  -6.7649906e-14
             0.047014743                  -9.5083229e-14
             0.049151778                  -1.3009977e-13
             0.051288813                  -1.7393519e-13
             0.053425845                  -2.2732345e-13
              0.05556288                  -2.9106627e-13
             0.057699915                  -3.6578929e-13
             0.059836946                  -4.5158582e-13
             0.061973982                  -5.4801882e-13
             0.064111017                  -6.5419106e-13
             0.066248052                  -7.6867863e-13
              0.06838508                  -8.8895227e-13
             0.070522115                  -1.0113117e-12
              0.07265915                  -1.1306964e-12
             0.074796185                  -1.2403756e-12
              0.07693322                  -1.3320151e-12
             0.079070248                  -1.3948153e-12
             0.081207283                  -1.4151854e-12
             0.083344318                  -1.3771035e-12
             0.085481353                  -1.2613582e-12
             0.087618388                  -1.0446101e-12
             0.089755423                  -6.9863998e-13
             0.091892451                  -1.8944744e-13
             0.094029486                   5.2448296e-13
             0.096166521                   1.4930904e-12
             0.098303556                   2.7743422e-12
              0.10044059                   4.4362639e-12
              0.10257763                   6.5606574e-12
              0.10471465                   9.2417098e-12
              0.10685169                   1.2587188e-11
              0.10898872                   1.6721733e-11
              0.11112576                   2.1788491e-11
              0.11326279                     2.79495e-11
              0.11539983                   3.5385792e-11
              0.11753686                   4.4299044e-11
              0.11967389                   5.4911971e-11
              0.12181093                   6.7467941e-11
              0.12394796                   8.2230313e-11
                0.126085                   9.9480479e-11
              0.12822203                   1.1951576e-10
              0.13035907                   1.4264376e-10
               0.1324961                   1.6917717e-10
              0.13463312                   1.9942738e-10
              0.13677016                   2.3369962e-10
              0.13890719                   2.7228259e-10
              0.14104423                    3.154374e-10
              0.14318126                   3.6338788e-10
               0.1453183                   4.1630585e-10
              0.14745533                   4.7429816e-10
              0.14959237                   5.3738997e-10
               0.1517294                   6.0550959e-10
              0.15386644                   6.7847072e-10
              0.15600348                   7.5595535e-10
               0.1581405                   8.3749641e-10
              0.16027753                   9.2246116e-10
              0.16241457                   1.0100347e-09
               0.1645516                   1.0992063e-09
              0.16668864                   1.1887564e-09
              0.16882567                   1.2772469e-09
              0.17096271                   1.3630133e-09
              0.17309974                   1.4441613e-09
              0.17523678                   1.5185677e-09
              0.17737381                    1.583886e-09
              0.17951085                   1.6375594e-09
              0.18164788                   1.6768357e-09
               0.1837849                   1.6987899e-09
              0.18592194                   1.7003557e-09
              0.18805897                   1.6783595e-09
              0.19019601                   1.6295618e-09
              0.19233304                   1.5507077e-09
              0.19447008                   1.4385797e-09
              0.19660711                   1.2900604e-09
              0.19874415                   1.1022022e-09
              0.20088118                   8.7229846e-10
              0.20301822                   5.9796068e-10
              0.20515525                    2.771943e-10
              0.20729227                  -9.1517613e-11
              0.20942931                  -5.0912907e-10
              0.21156634                  -9.7595509e-10
              0.21370338                  -1.4915862e-09
              0.21584041                  -2.0548103e-09
              0.21797745                  -2.6635423e-09
              0.22011448                  -3.3147554e-09
              0.22225152                  -4.0044226e-09
              0.22438855                  -4.7274651e-09
              0.22652559                  -5.4777138e-09
              0.22866262                  -6.2478858e-09
              0.23079966                   -7.029576e-09
              0.23293668                   -7.813262e-09
              0.23507372                  -8.5883274e-09
              0.23721075                  -9.3431032e-09
              0.23934779                  -1.0064931e-08
              0.24148482                  -1.0740243e-08
              0.24362186                   -1.135467e-08
              0.24575889                  -1.1893166e-08
              0.24789593                  -1.2340157e-08
              0.25003296                   -1.267971e-08
                 0.25217                  -1.2895725e-08
              0.25430703                  -1.2972154e-08
              0.25644407                  -1.2893224e-08
               0.2585811                  -1.2643695e-08
              0.26071814                  -1.2209125e-08
              0.26285517                  -1.1576148e-08
