Time / ns                i3/real
----------------------------------------------------------------------
                       0                  -9.0402636e-09
            0.0019615726                   1.3350249e-06
            0.0039231451                   1.3457636e-06
            0.0058847181                   1.3502377e-06
            0.0078462902                   1.3482355e-06
            0.0098078633                   1.3395714e-06
             0.011769436                   1.3240866e-06
             0.013731008                   1.3016512e-06
              0.01569258                   1.2721656e-06
             0.017654154                   1.2355621e-06
             0.019615727                   1.1918057e-06
             0.021577299                   1.1408958e-06
             0.023538873                   1.0828672e-06
             0.025500445                   1.0177904e-06
             0.027462017                   9.4577285e-07
             0.029423589                   8.6695951e-07
             0.031385161                   7.8153312e-07
             0.033346735                   6.8971434e-07
             0.035308309                    5.917621e-07
             0.037269879                   4.8797313e-07
             0.039231453                   3.7868182e-07
             0.041193027                    2.642596e-07
             0.043154597                   1.4511433e-07
             0.045116171                   2.1689244e-08
             0.047077745                  -1.0553808e-07
             0.049039315                  -2.3605715e-07
             0.051000889                  -3.6932599e-07
              0.05296246                  -5.0477303e-07
             0.054924034                  -6.4179881e-07
             0.056885608                  -7.7977842e-07
             0.058847178                  -9.1806356e-07
             0.060808752                  -1.0559852e-06
             0.062770322                  -1.1928561e-06
             0.064731896                  -1.3279739e-06
              0.06669347                  -1.4606239e-06
             0.068655044                  -1.5900825e-06
             0.070616618                  -1.7156202e-06
             0.072578184                  -1.8365051e-06
             0.074539758                  -1.9520066e-06
             0.076501332                  -2.0613991e-06
             0.078462906                  -2.1639651e-06
              0.08042448                      -2.259e-06
             0.082386054                  -2.3458149e-06
             0.084347621                  -2.4237413e-06
             0.086309195                  -2.4921346e-06
             0.088270769                   -2.550378e-06
             0.090232342                  -2.5978864e-06
             0.092193916                  -2.6341099e-06
              0.09415549                  -2.6585387e-06
             0.096117057                   -2.670705e-06
             0.098078631                   -2.670188e-06
               0.1000402                   -2.656617e-06
              0.10200178                  -2.6296739e-06
              0.10396335                  -2.5890977e-06
              0.10592492                  -2.5346862e-06
              0.10788649                  -2.4662997e-06
              0.10984807                  -2.3838627e-06
              0.11180964                  -2.2873662e-06
              0.11377122                  -2.1768708e-06
              0.11573279                  -2.0525069e-06
              0.11769436                  -1.9144775e-06
              0.11965593                  -1.7630579e-06
               0.1216175                  -1.5985977e-06
              0.12357908                  -1.4215206e-06
              0.12554064                  -1.2323246e-06
              0.12750222                  -1.0315819e-06
              0.12946379                  -8.1993767e-07
              0.13142537                  -5.9810981e-07
              0.13338694                  -3.6688687e-07
              0.13534851                  -1.2712658e-07
              0.13731009                   1.2024657e-07
              0.13927166                   3.7424377e-07
              0.14123324                   6.3381509e-07
              0.14319481                    8.978526e-07
              0.14515637                   1.1651945e-06
              0.14711794                    1.434629e-06
              0.14907952                   1.7048988e-06
              0.15104109                   1.9747063e-06
              0.15300266                   2.2427184e-06
              0.15496424                   2.5075724e-06
