        Time                o33
----------------------------------------------------------------------
                       0                               0
            0.0015929475                               0
             0.003185895                               0
            0.0047788429                   1.0752835e-17
            0.0063717901                   2.6744801e-17
            0.0079647377                   5.3146354e-17
            0.0095576858                   8.9610845e-17
             0.011150633                    1.464226e-16
              0.01274358                   2.8733851e-16
             0.014336528                   4.4601356e-16
             0.015929475                   5.9885473e-16
             0.017522423                   7.0083824e-16
             0.019115372                   5.7863293e-16
             0.020708319                   3.6293032e-16
             0.022301266                   1.4276787e-16
             0.023894213                  -1.6493648e-16
              0.02548716                  -9.0010824e-16
             0.027080109                  -2.3109581e-15
             0.028673057                  -4.4649288e-15
             0.030266004                   -7.677759e-15
             0.031858951                  -1.2509399e-14
               0.0334519                  -1.9412941e-14
             0.035044845                   -2.881434e-14
             0.036637794                   -4.127951e-14
             0.038230743                  -5.7851002e-14
             0.039823689                  -7.9002688e-14
             0.041416638                  -1.0497844e-13
             0.043009583                  -1.3664886e-13
             0.044602532                  -1.7481299e-13
             0.046195481                  -2.2036103e-13
             0.047788426                  -2.7409151e-13
             0.049381375                  -3.3661612e-13
             0.050974321                  -4.0800937e-13
              0.05256727                   -4.883252e-13
             0.054160219                  -5.7725434e-13
             0.055753164                  -6.7413051e-13
             0.057346113                  -7.7828558e-13
             0.058939058                  -8.8850162e-13
             0.060532007                  -1.0031584e-12
             0.062124956                   -1.120515e-12
             0.063717902                  -1.2385418e-12
             0.065310851                  -1.3549071e-12
               0.0669038                  -1.4669638e-12
             0.068496749                  -1.5717971e-12
              0.07008969                  -1.6663188e-12
             0.071682639                  -1.7471038e-12
             0.073275588                  -1.8104445e-12
             0.074868537                  -1.8527209e-12
             0.076461487                  -1.8700161e-12
             0.078054428                  -1.8584221e-12
             0.079647377                  -1.8144306e-12
             0.081240326                  -1.7344583e-12
             0.082833275                  -1.6150577e-12
             0.084426224                   -1.452783e-12
             0.086019166                  -1.2447415e-12
             0.087612115                  -9.8844923e-13
             0.089205064                  -6.8150693e-13
             0.090798013                  -3.2161876e-13
             0.092390962                   9.3048399e-14
             0.093983904                   5.6402772e-13
             0.095576853                   1.0922053e-12
             0.097169802                   1.6788571e-12
             0.098762751                   2.3246177e-12
               0.1003557                   3.0294896e-12
              0.10194864                    3.793894e-12
              0.10354159                    4.617307e-12
              0.10513454                   5.4993167e-12
              0.10672749                   6.4410218e-12
              0.10832044                   7.4440029e-12
              0.10991338                   8.5106627e-12
              0.11150633                   9.6452377e-12
              0.11309928                   1.0854451e-11
              0.11469223                   1.2148121e-11
              0.11628518                    1.353767e-11
              0.11787812                   1.5036675e-11
              0.11947107                   1.6663108e-11
              0.12106401                   1.8440492e-11
              0.12265696                   2.0397944e-11
              0.12424991                   2.2570496e-11
              0.12584285                    2.500003e-11
               0.1274358                   2.7735434e-11
              0.12902875                    3.083336e-11
               0.1306217                   3.4359925e-11
              0.13221465                   3.8390562e-11
               0.1338076                   4.3009592e-11
              0.13540055                   4.8312639e-11
               0.1369935                   5.4405244e-11
              0.13858643                   6.1404354e-11
              0.14017938                   6.9437567e-11
              0.14177233                   7.8643148e-11
              0.14336528                   8.9169568e-11
              0.14495823                   1.0117428e-10
              0.14655118                   1.1482347e-10
              0.14814413                   1.3029042e-10
              0.14973707                   1.4775377e-10
              0.15133002                   1.6739557e-10
              0.15292297                   1.8939884e-10
              0.15451591                   2.1394476e-10
              0.15610886                    2.412095e-10
              0.15770181                   2.7136068e-10
              0.15929475                   3.0455363e-10
               0.1608877                   3.4092684e-10
              0.16248065                   3.8059716e-10
               0.1640736                   4.2365483e-10
              0.16566655                   4.7015758e-10
               0.1672595                   5.2012539e-10
              0.16885245                    5.735355e-10
              0.17044538                   6.3031547e-10
              0.17203833                   6.9033657e-10
              0.17363128                   7.5340778e-10
              0.17522423                   8.1926982e-10
              0.17681718                   8.8758895e-10
              0.17841013                   9.5795216e-10
              0.18000308                   1.0298593e-09
              0.18159603                   1.1027201e-09
              0.18318897                   1.1758515e-09
              0.18478192                   1.2484707e-09
              0.18637486                   1.3196964e-09
              0.18796781                   1.3885482e-09
              0.18956076                   1.4539406e-09
              0.19115371                   1.5146903e-09
              0.19274665                   1.5695146e-09
               0.1943396                   1.6170366e-09
              0.19593255                   1.6557913e-09
               0.1975255                   1.6842352e-09
              0.19911845                   1.7007538e-09
               0.2007114                   1.7036743e-09
