Time / ns                i2/real
----------------------------------------------------------------------
                       0                  -1.0794679e-08
            0.0015929469                   3.2749767e-09
            0.0031858939                   1.3424502e-06
            0.0047788406                   1.3484987e-06
            0.0063717877                   1.3503526e-06
            0.0079647349                   1.3479031e-06
            0.0095576812                   1.3410529e-06
             0.011150628                   1.3297165e-06
             0.012743575                   1.3138207e-06
             0.014336522                   1.2933054e-06
              0.01592947                   1.2681242e-06
             0.017522415                   1.2382442e-06
             0.019115362                   1.2036475e-06
             0.020708309                   1.1643305e-06
             0.022301257                   1.1203051e-06
             0.023894204                   1.0715988e-06
             0.025487151                   1.0182549e-06
             0.027080098                    9.603325e-07
             0.028673043                   8.9790728e-07
             0.030265991                   8.3107113e-07
              0.03185894                   7.5993262e-07
             0.033451885                   6.8461674e-07
              0.03504483                    6.052652e-07
             0.036637779                   5.2203603e-07
             0.038230725                   4.3510383e-07
             0.039823674                   3.4465927e-07
             0.041416619                    2.509091e-07
             0.043009568                   1.5407568e-07
             0.044602513                   5.4396828e-08
             0.046195459                   -4.787471e-08
             0.047788408                   -1.524717e-07
             0.049381353                  -2.5911291e-07
             0.050974302                   -3.675037e-07
             0.052567247                   -4.773367e-07
             0.054160196                  -5.8829238e-07
             0.055753142                  -7.0003995e-07
             0.057346087                    -8.12238e-07
             0.058939036                  -9.2453553e-07
             0.060531981                  -1.0365726e-06
              0.06212493                  -1.1479817e-06
             0.063717879                  -1.2583884e-06
             0.065310821                  -1.3674123e-06
              0.06690377                  -1.4746687e-06
             0.068496719                  -1.5797691e-06
             0.070089661                  -1.6823227e-06
              0.07168261                  -1.7819376e-06
             0.073275559                  -1.8782222e-06
             0.074868508                  -1.9707857e-06
             0.076461449                  -2.0592406e-06
             0.078054398                  -2.1432029e-06
             0.079647347                  -2.2222944e-06
             0.081240289                  -2.2961433e-06
             0.082833238                  -2.3643859e-06
             0.084426187                  -2.4266681e-06
             0.086019136                  -2.4826461e-06
             0.087612078                  -2.5319889e-06
             0.089205027                  -2.5743789e-06
             0.090797976                  -2.6095129e-06
             0.092390917                  -2.6371044e-06
             0.093983866                  -2.6568844e-06
             0.095576815                  -2.6686027e-06
             0.097169764                  -2.6720293e-06
             0.098762706                   -2.666955e-06
              0.10035565                  -2.6531939e-06
               0.1019486                  -2.6305831e-06
              0.10354155                  -2.5989846e-06
              0.10513449                  -2.5582865e-06
              0.10672744                   -2.508403e-06
              0.10832039                  -2.4492765e-06
              0.10991333                   -2.380878e-06
              0.11150628                  -2.3032069e-06
              0.11309923                  -2.2162935e-06
              0.11469217                  -2.1201981e-06
              0.11628512                  -2.0150126e-06
              0.11787807                  -1.9008596e-06
              0.11947102                  -1.7778947e-06
              0.12106396                  -1.6463046e-06
              0.12265691                  -1.5063088e-06
              0.12424986                  -1.3581592e-06
              0.12584281                  -1.2021397e-06
              0.12743576                  -1.0385666e-06
              0.12902869                  -8.6778766e-07
              0.13062164                  -6.9018256e-07
              0.13221459                  -5.0616177e-07
              0.13380754                  -3.1616611e-07
              0.13540049                  -1.2066614e-07
              0.13699344                   7.9838692e-08
              0.13858639                   2.8482111e-07
              0.14017932                   4.9372693e-07
              0.14177227                   7.0597622e-07
              0.14336522                   9.2096479e-07
              0.14495817                   1.1380652e-06
              0.14655112                   1.3566286e-06
              0.14814407                   1.5759862e-06
              0.14973702                   1.7954508e-06
              0.15132995                   2.0143189e-06
               0.1529229                   2.2318725e-06
              0.15451585                   2.4473807e-06
               0.1561088                   2.6601022e-06
              0.15770175                   2.8692878e-06
              0.15929469                   3.0741817e-06
              0.16088764                    3.274024e-06
              0.16248058                   3.4680543e-06
              0.16407353                   3.6555123e-06
              0.16566648                   3.8356416e-06
              0.16725942                   4.0076911e-06
              0.16885237                   4.1709195e-06
              0.17044532                   4.3245959e-06
              0.17203827                   4.4680028e-06
              0.17363121                   4.6004398e-06
              0.17522416                   4.7212252e-06
               0.1768171                   4.8296988e-06
              0.17841005                   4.9252262e-06
                0.180003                   5.0071976e-06
              0.18159595                   5.0750346e-06
               0.1831889                   5.1281904e-06
              0.18478183                   5.1661527e-06
              0.18637478                   5.1884463e-06
              0.18796773                   5.1946354e-06
              0.18956068                   5.1843267e-06
              0.19115363                   5.1571701e-06
              0.19274658                   5.1128623e-06
              0.19433953                   5.0511476e-06
              0.19593246                   4.9718215e-06
              0.19752541                   4.8747306e-06
              0.19911836                   4.7597755e-06
              0.20071131                   4.6269124e-06
              0.20230426                   4.4761541e-06
              0.20389721                   4.3075706e-06
              0.20549016                    4.121292e-06
              0.20708309                   3.9175079e-06
              0.20867604                   3.6964684e-06
              0.21026899                   3.4584859e-06
              0.21186194                   3.2039338e-06
              0.21345489                   2.9332477e-06
              0.21504784                   2.6469249e-06
              0.21664079                   2.3455252e-06
              0.21823372                   2.0296691e-06
              0.21982667                   1.7000384e-06
              0.22141962                   1.3573747e-06
              0.22301257                   1.0024786e-06
              0.22460552                   6.3620854e-07
              0.22619846                   2.5947938e-07
              0.22779141                  -1.2673961e-07
              0.22938435                  -5.2142627e-07
               0.2309773                  -9.2350768e-07
              0.23257025                  -1.3318628e-06
              0.23416319                  -1.7453245e-06
              0.23575614                  -2.1626829e-06
              0.23734909                  -2.5826873e-06
              0.23894204                  -3.0040503e-06
              0.24053498                   -3.425451e-06
              0.24212793                  -3.8455378e-06
              0.24372087                  -4.2629326e-06
              0.24531382                  -4.6762343e-06
              0.24690677                  -5.0840245e-06
              0.24849972                  -5.4848674e-06
              0.25009266                  -5.8773203e-06
              0.25168562                  -6.2599315e-06
              0.25327855                  -6.6312505e-06
              0.25487152                  -6.9898283e-06
              0.25646445                  -7.3342253e-06
              0.25805739                   -7.663014e-06
              0.25965035                  -7.9747851e-06
              0.26124328                  -8.2681527e-06
              0.26283625                  -8.5417569e-06
              0.26442918                  -8.7942717e-06
              0.26602215                  -9.0244102e-06
              0.26761508                  -9.2309256e-06
              0.26920801                  -9.4126208e-06
              0.27080098                  -9.5683517e-06
              0.27239391                  -9.6970298e-06
              0.27398688                  -9.7976317e-06
              0.27557981                   -9.869198e-06
              0.27717277                  -9.9108447e-06
              0.27876571                  -9.9217623e-06
              0.28035864                  -9.9012195e-06
              0.28195161                  -9.8485743e-06
              0.28354454                  -9.7632701e-06
               0.2851375                  -9.6448439e-06
              0.28673044                  -9.4929292e-06
               0.2883234                  -9.3072576e-06
              0.28991634                  -9.0876647e-06
              0.29150927                  -8.8340912e-06
              0.29310223                  -8.5465836e-06
              0.29469517                  -8.2253018e-06
              0.29628813                  -7.8705152e-06
              0.29788107                  -7.4826085e-06
              0.29947403                  -7.0620808e-06
              0.30106696                  -6.6095477e-06
               0.3026599                   -6.125741e-06
              0.30425286                  -5.6115091e-06
               0.3058458                  -5.0678186e-06
              0.30743876                  -4.4957505e-06
               0.3090317                  -3.8965022e-06
              0.31062466                  -3.2713849e-06
              0.31221759                  -2.6218229e-06
              0.31381053                  -1.9493496e-06
              0.31540349                   -1.255607e-06
              0.31699643                  -5.4234215e-07
              0.31858939                   1.8859676e-07
              0.32018232                   9.3526324e-07
              0.32177529                   1.6956171e-06
              0.32336822                   2.4675287e-06
              0.32496116                    3.248784e-06
              0.32655412                   4.0370896e-06
              0.32814705                   4.8300785e-06
              0.32974002                   5.6253166e-06
              0.33133295                   6.4203077e-06
              0.33292592                   7.2125017e-06
              0.33451885                   7.9993006e-06
              0.33611178                   8.7780654e-06
              0.33770475                   9.5461264e-06
              0.33929768                   1.0300788e-05
              0.34089065                   1.1039338e-05
              0.34248358                   1.1759054e-05
              0.34407654                   1.2457218e-05
              0.34566948                   1.3131118e-05
              0.34726241                   1.3778062e-05
              0.34885538                   1.4395381e-05
              0.35044831                   1.4980449e-05
              0.35204127                   1.5530681e-05
              0.35363421                   1.6043545e-05
              0.35522717                   1.6516577e-05
              0.35682011                   1.6947386e-05
              0.35841304                   1.7333665e-05
                0.360006                   1.7673194e-05
              0.36159894                   1.7963859e-05
               0.3631919                   1.8203655e-05
              0.36478484                   1.8390696e-05
               0.3663778                   1.8523226e-05
              0.36797073                    1.859962e-05
              0.36956367                   1.8618401e-05
              0.37115663                   1.8578246e-05
              0.37274957                   1.8477989e-05
              0.37434253                   1.8316636e-05
              0.37593547                   1.8093358e-05
              0.37752843                   1.7807517e-05
              0.37912136                   1.7458653e-05
               0.3807143                   1.7046506e-05
              0.38230726                   1.6571006e-05
               0.3839002                   1.6032292e-05
              0.38549316                     1.54307e-05
              0.38708609                   1.4766783e-05
              0.38867906                   1.4041301e-05
              0.39027199                    1.325523e-05
              0.39186493                   1.2409761e-05
              0.39345789                   1.1506301e-05
              0.39505082                   1.0546474e-05
              0.39664379                   9.5321211e-06
              0.39823672                   8.4652966e-06
              0.39982969                   7.3482665e-06
              0.40142262                   6.1835099e-06
              0.40301555                   4.9737114e-06
              0.40460852                   3.7217574e-06
              0.40620145                   2.4307328e-06
              0.40779442                   1.1039144e-06
              0.40938735                  -2.5523519e-07
              0.41098031                  -1.6430752e-06
              0.41257325                  -3.0557937e-06
              0.41416618                  -4.4894173e-06
              0.41575915                  -5.9398185e-06
              0.41735208                  -7.4027284e-06
              0.41894504                  -8.8737452e-06
              0.42053798                  -1.0348346e-05
              0.42213094                    -1.18219e-05
              0.42372388                  -1.3289677e-05
              0.42531681                  -1.4746865e-05
              0.42690977                  -1.6188586e-05
              0.42850271                    -1.76099e-05
              0.43009567                  -1.9005833e-05
              0.43168861                  -2.0371377e-05
              0.43328157                   -2.170152e-05
               0.4348745                  -2.2991257e-05
              0.43646744                    -2.42356e-05
               0.4380604                  -2.5429601e-05
              0.43965334                  -2.6568367e-05
               0.4412463                   -2.764708e-05
              0.44283924                  -2.8661007e-05
               0.4444322                  -2.9605524e-05
              0.44602513                  -3.0476127e-05
              0.44761807                  -3.1268457e-05
              0.44921103                  -3.1978307e-05
              0.45080397                  -3.2601649e-05
              0.45239693                  -3.3134642e-05
              0.45398986                  -3.3573655e-05
              0.45558283                  -3.3915279e-05
              0.45717576                  -3.4156346e-05
               0.4587687                  -3.4293942e-05
              0.46036166                  -3.4325418e-05
              0.46195459                  -3.4248409e-05
              0.46354756                  -3.4060857e-05
              0.46514049                  -3.3760996e-05
              0.46673346                  -3.3347398e-05
              0.46832639                  -3.2818964e-05
              0.46991932                  -3.2174932e-05
              0.47151229                    -3.14149e-05
              0.47310522                  -3.0538835e-05
              0.47469819                  -2.9547058e-05
              0.47629112                  -2.8440283e-05
              0.47788408                  -2.7219598e-05
              0.47947702                   -2.588648e-05
