Time / ns                o1,1/real
----------------------------------------------------------------------
                       0                   1.6815142e-19
            0.0015929459                  -1.6815142e-19
            0.0031858918                   -1.175729e-17
            0.0047788378                  -5.5281774e-17
            0.0063717836                  -1.6259496e-16
            0.0079647293                  -3.9680182e-16
            0.0095576756                  -8.1935848e-16
             0.011150622                  -1.5107406e-15
             0.012743567                  -2.5479107e-15
             0.014336513                  -4.0463026e-15
             0.015929459                  -5.9648412e-15
             0.017522406                  -8.2785798e-15
             0.019115351                  -1.1043665e-14
             0.020708296                  -1.4353485e-14
             0.022301244                  -1.8079534e-14
             0.023894189                  -2.2002491e-14
             0.025487134                   -2.607294e-14
             0.027080081                  -3.0498228e-14
             0.028673027                  -3.5654029e-14
             0.030265972                  -4.1993129e-14
             0.031858917                  -4.9781881e-14
             0.033451866                  -5.9698936e-14
             0.035044812                    -7.23102e-14
             0.036637757                  -8.7975552e-14
             0.038230702                  -1.0684501e-13
             0.039823648                  -1.2937259e-13
             0.041416593                  -1.5648302e-13
             0.043009542                  -1.8870033e-13
             0.044602487                  -2.2682934e-13
             0.046195433                  -2.7177425e-13
             0.047788378                  -3.2435556e-13
             0.049381323                  -3.8521438e-13
             0.050974268                  -4.5420352e-13
             0.052567217                  -5.3133664e-13
             0.054160163                  -6.1627407e-13
             0.055753108                  -7.0832928e-13
             0.057346053                  -8.0647983e-13
             0.058938999                  -9.0946863e-13
             0.060531944                  -1.0156511e-12
             0.062124893                  -1.1232336e-12
             0.063717835                  -1.2300405e-12
             0.065310784                  -1.3336931e-12
             0.066903733                  -1.4316152e-12
             0.068496674                  -1.5209811e-12
             0.070089623                  -1.5987059e-12
             0.071682565                  -1.6614876e-12
             0.073275514                  -1.7060116e-12
             0.074868456                  -1.7287128e-12
             0.076461405                  -1.7260773e-12
             0.078054354                  -1.6946854e-12
             0.079647295                  -1.6309078e-12
             0.081240244                  -1.5313771e-12
             0.082833186                  -1.3930258e-12
             0.084426135                  -1.2124286e-12
             0.086019084                  -9.8618379e-13
             0.087612025                  -7.1163431e-13
             0.089204974                  -3.8671919e-13
             0.090797916                  -9.6431652e-15
             0.092390865                   4.2128562e-13
             0.093983807                   9.0713223e-13
             0.095576756                   1.4479929e-12
             0.097169705                   2.0443857e-12
             0.098762646                   2.6958856e-12
               0.1003556                   3.4025233e-12
              0.10194854                   4.1637692e-12
              0.10354149                   4.9785571e-12
              0.10513443                   5.8456603e-12
              0.10672738                   6.7657885e-12
              0.10832033                   7.7405599e-12
              0.10991327                    8.773527e-12
              0.11150622                   9.8694577e-12
              0.11309916                   1.1034282e-11
              0.11469211                   1.2277091e-11
              0.11628506                   1.3609341e-11
                0.117878                   1.5046431e-11
              0.11947095                   1.6607512e-11
              0.12106389                   1.8317998e-11
              0.12265684                   2.0207865e-11
              0.12424979                    2.231299e-11
              0.12584274                   2.4677453e-11
              0.12743567                   2.7352622e-11
              0.12902862                   3.0396168e-11
              0.13062157                   3.3876152e-11
              0.13221452                   3.7868451e-11
              0.13380747                   4.2459414e-11
               0.1354004                   4.7745325e-11
              0.13699335                   5.3832404e-11
               0.1385863                   6.0838438e-11
              0.14017925                   6.8891351e-11
               0.1417722                   7.8128858e-11
              0.14336513                   8.8698895e-11
              0.14495808                   1.0075838e-10
              0.14655103                   1.1447224e-10
              0.14814398                   1.3001236e-10
              0.14973691                   1.4755587e-10
              0.15132986                   1.6728323e-10
              0.15292281                   1.8937579e-10
              0.15451576                   2.1401297e-10
              0.15610871                   2.4136915e-10
              0.15770164                   2.7161023e-10
              0.15929459                   3.0488964e-10
              0.16088754                   3.4134379e-10
              0.16248049                   3.8108819e-10
              0.16407344                   4.2421164e-10
              0.16566637                   4.7077142e-10
              0.16725932                   5.2078697e-10
              0.16885227                   5.7423394e-10
              0.17044522                   6.3103883e-10
              0.17203817                   6.9107159e-10
               0.1736311                   7.5414042e-10
              0.17522405                   8.1998502e-10
                0.176817                   8.8827096e-10
              0.17840995                    9.585851e-10
               0.1800029                   1.0304295e-09
              0.18159583                   1.1032157e-09
              0.18318878                   1.1762608e-09
              0.18478173                   1.2487836e-09
              0.18637468                   1.3199037e-09
              0.18796761                   1.3886393e-09
              0.18956056                   1.4539088e-09
              0.19115351                   1.5145306e-09
              0.19274646                   1.5692223e-09
              0.19433941                     1.61661e-09
              0.19593234                   1.6552311e-09
              0.19752529                   1.6835442e-09
              0.19911824                   1.6999364e-09
              0.20071119                   1.7027386e-09
              0.20230414                   1.6902364e-09
              0.20389707                   1.6606869e-09
              0.20549002                   1.6123352e-09
              0.20708297                   1.5434344e-09
              0.20867592                   1.4522686e-09
              0.21026887                   1.3371708e-09
               0.2118618                   1.1965491e-09
              0.21345475                   1.0289158e-09
               0.2150477                   8.3291662e-10
              0.21664065                   6.0735739e-10
               0.2182336                   3.5123571e-10
              0.21982653                   6.3767991e-11
              0.22141948                  -2.5557967e-10
              0.22301243                   -6.070599e-10
              0.22460538                  -9.9061326e-10
              0.22619832                   -1.405841e-09
              0.22779126                  -1.8519759e-09
              0.22938421                  -2.3278579e-09
              0.23097716                  -2.8319103e-09
              0.23257011                  -3.3621197e-09
              0.23416305                  -3.9160186e-09
              0.23575599                  -4.4906723e-09
              0.23734894                  -5.0826645e-09
              0.23894189                  -5.6880944e-09
              0.24053484                  -6.3025771e-09
              0.24212778                  -6.9212449e-09
              0.24372073                   -7.538759e-09
              0.24531367                  -8.1493239e-09
              0.24690662                  -8.7467082e-09
              0.24849957                  -9.3242738e-09
              0.25009251                  -9.8750084e-09
              0.25168547                  -1.0391563e-08
               0.2532784                  -1.0866305e-08
              0.25487134                  -1.1291363e-08
               0.2564643                  -1.1658688e-08
              0.25805724                  -1.1960124e-08
               0.2596502                  -1.2187466e-08
              0.26124313                  -1.2332547e-08
              0.26283607                   -1.238731e-08
              0.26442903                  -1.2343896e-08
              0.26602197                  -1.2194731e-08
              0.26761493                  -1.1932618e-08
              0.26920786                  -1.1550831e-08
               0.2708008                  -1.1043204e-08
              0.27239376                  -1.0404234e-08
               0.2739867                  -9.6291739e-09
              0.27557966                  -8.7141201e-09
               0.2771726                  -7.6561104e-09
              0.27876553                  -6.4532135e-09
              0.28035849                  -5.1046101e-09
              0.28195143                  -3.6106726e-09
              0.28354439                  -1.9730459e-09
              0.28513733                  -1.9470026e-10
              0.28673026                   1.7200091e-09
              0.28832322                    3.765293e-09
              0.28991616                   5.9338854e-09
              0.29150909                   8.2170217e-09
              0.29310206                   1.0604428e-08
              0.29469499                   1.3084323e-08
              0.29628795                   1.5643424e-08
              0.29788089                   1.8266975e-08
              0.29947382                   2.0938792e-08
              0.30106679                   2.3641316e-08
              0.30265972                   2.6355691e-08
              0.30425268                   2.9061853e-08
              0.30584562                   3.1738633e-08
              0.30743855                   3.4363879e-08
              0.30903152                   3.6914582e-08
              0.31062445                   3.9367041e-08
              0.31221741                   4.1697021e-08
              0.31381035                   4.3879922e-08
              0.31540328                   4.5890975e-08
              0.31699625                   4.7705445e-08
              0.31858918                   4.9298833e-08
              0.32018214                   5.0647092e-08
              0.32177508                   5.1726861e-08
              0.32336801                   5.2515684e-08
              0.32496098                   5.2992242e-08
              0.32655391                   5.3136588e-08
              0.32814687                   5.2930357e-08
              0.32973981                   5.2357002e-08
              0.33133274                   5.1402001e-08
              0.33292571                   5.0053078e-08
              0.33451864                   4.8300375e-08
              0.33611161                   4.6136648e-08
              0.33770454                   4.3557417e-08
              0.33929747                   4.0561115e-08
              0.34089044                   3.7149203e-08
              0.34248337                   3.3326266e-08
              0.34407634                   2.9100093e-08
              0.34566927                   2.4481707e-08
               0.3472622                   1.9485389e-08
              0.34885517                   1.4128663e-08
               0.3504481                   8.4322451e-09
              0.35204107                   2.4199709e-09
                0.353634                  -3.8813148e-09
              0.35522693                  -1.0441894e-08
               0.3568199                  -1.7229345e-08
              0.35841283                  -2.4208742e-08
               0.3600058                  -3.1342875e-08
              0.36159873                  -3.8592511e-08
              0.36319166                  -4.5916654e-08
              0.36478463                   -5.327286e-08
              0.36637756                  -6.0617531e-08
               0.3679705                  -6.7906264e-08
              0.36956346                  -7.5094171e-08
              0.37115639                  -8.2136225e-08
              0.37274936                  -8.8987626e-08
              0.37434229                  -9.5604143e-08
              0.37593523                  -1.0194244e-07
              0.37752819                  -1.0796044e-07
              0.37912112                  -1.1361762e-07
              0.38071409                  -1.1887534e-07
              0.38230702                  -1.2369711e-07
              0.38389996                  -1.2804882e-07
              0.38549292                  -1.3189903e-07
              0.38708586                  -1.3521912e-07
              0.38867882                  -1.3798353e-07
              0.39027175                  -1.4016982e-07
              0.39186469                  -1.4175876e-07
              0.39345765                  -1.4273446e-07
              0.39505059                  -1.4308436e-07
              0.39664355                  -1.4279918e-07
              0.39823648                  -1.4187295e-07
              0.39982942                  -1.4030284e-07
              0.40142238                  -1.3808918e-07
              0.40301532                  -1.3523515e-07
              0.40460828                  -1.3174675e-07
              0.40620121                  -1.2763252e-07
              0.40779415                  -1.2290343e-07
              0.40938711                  -1.1757258e-07
              0.41098005                  -1.1165502e-07
              0.41257301                  -1.0516751e-07
              0.41416594                  -9.8128289e-08
              0.41575888                  -9.0556867e-08
              0.41735184                  -8.2473811e-08
              0.41894478                   -7.390058e-08
              0.42053774                  -6.4859307e-08
              0.42213067                  -5.5372691e-08
              0.42372361                  -4.5463874e-08
              0.42531657                  -3.5156347e-08
              0.42690951                  -2.4473898e-08
              0.42850247                  -1.3440589e-08
               0.4300954                  -2.0807756e-09
              0.43168834                   9.5808534e-09
               0.4332813                   2.1519192e-08
              0.43487424                   3.3708609e-08
               0.4364672                    4.612281e-08
              0.43806013                   5.8734674e-08
              0.43965307                   7.1516077e-08
              0.44124603                   8.4437687e-08
              0.44283897                   9.7468771e-08
              0.44443193                   1.1057698e-07
              0.44602486                   1.2372814e-07
               0.4476178                   1.3688606e-07
              0.44921076                   1.5001233e-07
               0.4508037                   1.6306623e-07
              0.45239663                   1.7600453e-07
               0.4539896                   1.8878143e-07
              0.45558253                    2.013485e-07
              0.45717549                   2.1365476e-07
              0.45876843                   2.2564662e-07
              0.46036136                   2.3726801e-07
              0.46195433                   2.4846062e-07
              0.46354726                   2.5916401e-07
              0.46514022                   2.6931599e-07
              0.46673316                   2.7885289e-07
              0.46832609                   2.8771001e-07
              0.46991906                   2.9582202e-07
              0.47151199                    3.031235e-07
              0.47310495                   3.0954951e-07
              0.47469789                   3.1503609e-07
              0.47629082                   3.1952095e-07
              0.47788379                   3.2294406e-07
              0.47947672                   3.2524829e-07
              0.48106968                   3.2638013e-07
              0.48266262                   3.2629026e-07
              0.48425555                   3.2493418e-07
              0.48584852                   3.2227285e-07
              0.48744145                   3.1827318e-07
              0.48903441                   3.1290858e-07
              0.49062735                   3.0615948e-07
              0.49222028                   2.9801362e-07
              0.49381325                    2.884664e-07
              0.49540618                   2.7752111e-07
              0.49699914                    2.651891e-07
              0.49859208                   2.5148984e-07
              0.50018501                   2.3645093e-07
              0.50177795                   2.2010791e-07
              0.50337094                   2.0250414e-07
              0.50496387                   1.8369045e-07
              0.50655681                   1.6372478e-07
              0.50814974                   1.4267175e-07
              0.50974268                   1.2060215e-07
              0.51133567                   9.7592306e-08
              0.51292861                   7.3723491e-08
              0.51452154                   4.9081244e-08
              0.51611447                   2.3754659e-08
              0.51770741                  -2.1643283e-09
               0.5193004                  -2.8581677e-08
              0.52089334                  -5.5401962e-08
              0.52248627                  -8.2529077e-08
               0.5240792                   -1.098669e-07
              0.52567214                  -1.3731994e-07
              0.52726513                   -1.647939e-07
              0.52885807                  -1.9219618e-07
                0.530451                  -2.1943637e-07
              0.53204393                  -2.4642659e-07
              0.53363687                  -2.7308181e-07
              0.53522986                  -2.9931999e-07
               0.5368228                  -3.2506227e-07
              0.53841573                  -3.5023299e-07
              0.54000866                  -3.7475968e-07
               0.5416016                  -3.9857281e-07
              0.54319459                  -4.2160582e-07
              0.54478753                   -4.437947e-07
              0.54638046                  -4.6507773e-07
              0.54797339                  -4.8539516e-07
              0.54956633                  -5.0468878e-07
              0.55115932                  -5.2290164e-07
              0.55275226                  -5.3997746e-07
              0.55434519                  -5.5586048e-07
              0.55593812                  -5.7049482e-07
              0.55753106                  -5.8382437e-07
